input_text,target_text
John sounded very.,John sounded very confident.  
Kim put in the box.,Kim placed it in the box.  
"The harder it rains, how much faster a flow that do you see in the river?",The harder it rains; the faster the river's flow becomes.  
"The most you want, the least you eat.","The more you want, the less you eat.  "
You shouldn't play with rifles because play with rifles to is dangerous.,You shouldn’t play with rifles because it is dangerous to do so.  
"It is important the more you eat, the more careful for you to be.","It is important that the more you eat, the more careful you should be.  "
Mary tried John to go abroad.,Mary tried to persuade John to go abroad.  
Mary's criticism him was cruel.,Mary’s criticism of him was cruel.  
Which house does your friend live?,Which house does your friend live in?  
Bill poorly recited his lines.,Bill poorly recited his lines.  
What did you ask who Medea gave?,What did you ask about whom Medea gave something to?  
John gave Bill of the book.,John gave Bill part of the book.  
"Bill seems to be obnoxious, but I don't think that Sam tends.","Bill seems obnoxious, but I don't think that Sam tends to behave that way.  "
"I'll turn the radio down, but I won't up.","I’ll turn the radio down, but I won’t turn it up.  "
"He seems to become more corrupt, the more lobbyists every senator talks to.",He seems to become more corrupt the more lobbyists every senator talks to.  
Fruit dropped from the tree from the clouds.,Fruit dropped from the tree as if from the clouds.  
The more pictures of John that he buys the more arrogant he becomes.,"The more pictures of John he buys, the more arrogant he becomes.  "
"The more people you say that will buy tickets, the happier I'll be.","The more people you say will buy tickets, the happier I’ll be.  "
I raw eat fish drunk.,I eat raw fish when I am drunk.  
The men were arrested all.,All the men were arrested.  
I want that Bill left to remain a secret.,I want Bill’s departure to remain a secret.  
"The harder it rains, the faster who runs?","The harder it rains, the faster he runs.  "
He impresses his friends all as pompous.,He impresses all his friends as being pompous.  
Mary is fond him.,Mary is fond of him.  
Who did you ask whether Mary knows why John likes?,Who did you ask whether Mary knows why John likes her?  
Rusty talked about himself only after Mary did talk about himself.,Rusty talked about himself only after Mary did the same.  
The cup knocked the stone apart.,The cup knocked the stone apart.  
Ellen said about the present conditions.,Ellen spoke about the present conditions.  
"It is important the more you eat, the more careful to be.",It is important to be more careful the more you eat.  
A man to be in the garden is unlikely.,It is unlikely that a man is in the garden.  
Jessica crammed boxes at the truck.,Jessica loaded boxes into the truck.  
I wonder you ate how much.,I wonder how much you ate.  
"It is important for the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you ought to be.  "
"Bill can well imagine the more he eats, the fatter getting.","Bill can imagine that the more he eats, the fatter he becomes.  "
"I know which book Mag read, and which book Bob read my report that you hadn't.",I know which book Mag read and which book Bob referred to in his report that you hadn’t.  
They drank the pub.,They drank at the pub.  
The more food Mary knows a man that eats the poorer she gets.,"The more food Mary knows a man eats, the poorer she becomes.  "
The lions ate raw the meat.,The lions ate the meat raw.  
John was cost $10 by the book.,The book cost John $10.  
Which boy's did we elect guardian's employer president?,Whose guardian’s employer did we elect president?  
The chair pushed.,The chair was moved.  
Mary considered to have loved her.,Mary was considered to have loved him.  
The fort fluttered with many flags.,The fort was adorned with many flags.  
John seems that is nice.,John seems to be nice.  
"The more does Bill smoke, the more Susan hates him.","The more Bill smokes, the more Susan hates him.  "
the branch dropped bare of its apple.,The branch dropped bare of its apples.  
"Although Mag doesn't eggplants, Sally eats cabbage.","Although Mag doesn’t eat eggplants, Sally eats cabbage.  "
he belief that Mary kissed Bill is mistaken.,The belief that Mary kissed Bill is mistaken.  
There is arriving three men at that station.,There are three men arriving at that station.  
The writers didn't so believe the boy.,The writers did not believe the boy in such a way.  
He gets angry if John has to wait.,He gets angry if John has to wait.  
You shouldn't have played with rifles because to have is dangerous.,You shouldn’t have played with rifles because it was dangerous.  
"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.","The more time every senator spends with lobbyists, the more likely he is to succumb to corruption.  "
Heidi thinks that Andy to eat salmon flavored candy bars.,Heidi thinks that Andy likes eating salmon-flavoured candy bars.  
The house destroyed John.,The house was destroyed by John.  
John believes that him is sick.,John believes that he is sick.  
How many people do you wonder whether I consider intelligent?,How many people do you wonder whether I consider intelligent?  
Kim alienated cats and beating his dog.,Kim alienated cats and beat his dog.  
You shouldn't play with rifles because to is dangerous.,You shouldn’t play with rifles because it is dangerous.  
No one can forgive that comment to you.,No one can forgive you for that comment.  
"The more you eat, you want the more.","The more you eat, the more you want.  "
"It is important the more you to eat, the more careful to be.","It is important that the more you eat, the more careful you must be."
Which article did Terry file papers without reading?,Which article did Terry file without reading the papers?  
"He seems to become more corrupt, as every senator talks to more lobbyists.",He seems to become more corrupt as every senator talks to more lobbyists.  
Kick you!,Get out of here!  
"He seems to become more corrupt, if every senator talks to more lobbyists.",He seems to become more corrupt if every senator talks to more lobbyists.  
"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",It is the folks up at corporate headquarters who will be satisfied the sooner you solve this problem.  
Himself is understood by Rutherford.,Rutherford is understood by himself.  
The kids were failed as a father.,The kids were failed by Max in his role as a father.  
Michelle kept the desk with the papers.,Michelle organized the desk with papers.  
I detest him taking a bath.,I detest him taking a bath.  
Here's a knife with which for you to cut up the onions.,Here’s a knife for you to use to cut the onions.  
We proclaimed sincerely to the public John to be a hero.,We sincerely proclaimed John to be a hero to the public.  
The box at once contained the ball.,The box instantly contained the ball.  
Bill is resembled by John.,John resembles Bill.  
"The more that pictures of himself appear in the news, the more likely John is to get arrested.","The more pictures of himself that appear in the news, the more likely John is to get arrested.  "
John is impressed by Bill as pompous.,John is impressed by Bill's pompous behaviour.  
The dog barked out of the room.,The dog barked as it left the room.  
"It's we go to the meeting, that Sally will tell us when.","When we go to the meeting, Sally will tell us what time to arrive.  "
"The more he eats, the fatter he goes to a doctor when he gets.","The more he eats, the more often he goes to the doctor.  "
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,This is a problem that you will be able to tell the folks up at corporate headquarters to buzz off if you solve it.  
The cup filled of water.,The cup was filled with water.  
What Mary did Bill was give a book.,What Mary gave Bill was a book.  
"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?","The sooner you solve this problem, the more easily you will satisfy the folks at corporate headquarters.  "
Mary reported he to have loved her.,Mary reported that he had loved her.  
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",It is not entirely obvious whether Mary listens to the Grateful Dead and gets depressed.  
"The later it gets, the more people everyone who likes pays attention to.","The later it gets, the more attention everyone who likes pays.  "
Students studying English reads Conrad's Heart of Darkness while at university.,Students studying English read Conrad’s “Heart of Darkness” in university.  
Which problem do you wonder whether John said that Mary solved?,Which problem do you wonder whether John said that Mary solved?  
Medea tried the nurse to poison her children.,Medea tried to poison her children through the nurse.  
"I can well imagine the more him eating, the fatter him getting.","I can easily imagine that the more he eats, the fatter he gets.  "
The boys were made a good mother by Aunt Mary.,Aunt Mary made the boys appreciate a good mother.  
John would be liked to win.,John would be liked as the winner.  
Sophie will theater.,Sophie will go to the theatre.  
They represented seriously to the dean Mary as a genuine linguist.,They seriously represented Mary to the dean as a genuine linguist.  
John write books.,John writes books.  
The children amused.,The children were entertained.  
I saw the men all.,I saw all the men.  
"The more he eats, the fatter that that he gets really bothers me.","The more he eats, the more his weight bothers me.  "
"It is important the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you must be.  "
Sam stood near yesterday every one of the women we'd been discussing.,Sam stood near every one of the women we had been discussing yesterday.  
The tube was escaped by gas.,Gas escaped from the tube.  
Mickey teamed with the women up.,Mickey teamed up with the women.  
The ship sank to collect the insurance.,The ship was sunk to collect the insurance.  
How do you wonder whether John said Mary solved the problem?,How do you wonder whether John said Mary solved the problem?  
I know a man who Tom drives as drives.,I know a man who drives like Tom.  
He washed yourself.,He washed himself.  
"The richer he gets, the more John meets geniuses.",The richer he gets; the more John meets geniuses.  
We love their.,We love their company.  
The elevator rumbled itself to the ground.,The elevator rumbled its way to the ground.  
many information was provided.,A lot of information was provided.  
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.","We gave him enough opportunity, and sure enough, every senator succumbed to corruption.  "
Mary reported his to have loved her.,Mary reported his assertion that he loved her.  
We yelled Harry hoarse.,We yelled Harry hoarse.  
Rub the cloth on the baby asleep.,Rub the cloth on the baby while they are asleep.  
I visited every town in every country I had to.,I visited every town in every country that I needed to visit.  
I ate that she was happy,I ate while she was happy.  
John to call would be unlikely.,It would be unlikely for John to call.  
Linda winked her lip.,Linda pursed her lips.  
"He seems to become more corrupt, the more lobbyists any senator talks to.",He seems to become more corrupt the more lobbyists any senator talks to.  
The problem's knowledge is quite thorough.,The understanding of the problem is quite thorough.  
We proclaimed to the public John to be a hero.,We proclaimed John to be a hero to the public.  
Paperback books lift onto the table easily.,Paperback books lift onto the table with ease.  
Who would you prefer for to win the race?,Who would you prefer to win the race?  
They caused him to become president by making him.,They made him president by supporting him.  
The farm finally reached John after much litigation.,"After much litigation, John finally reached the farm.  "
"The more obnoxious Fred, the less attention you should pay to him.","The more obnoxious Fred becomes, the less attention you should pay to him.  "
I reviewed Joe's attempt to find Holly while you reviewed JosÃ©'s attempt to.,"I reviewed Joe’s attempt to find Holly, while you reviewed José’s attempt to do the same.  "
"Lilly decided eating cabbage, to be.",Lilly decided to eat cabbage.  
The monkey is ate the banana,The monkey ate the banana.  
John's mother likes himself.,John's mother likes him.  
"While Holly didn't discuss a report about every boy, she did every girl.","While Holly didn’t discuss a report about every boy, she discussed every girl.  "
We believed John to be a fountain in the park.,We believed John to be the fountain in the park.  
John tries to meet often Mary.,John often tries to meet Mary.  
Bill proud of himself John doesn't consider.,John doesn't consider Bill proud of himself.  
"I demand that the more John eat, the more he pay.","I demand that the more John eats, the more he pays.  "
"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?","The sooner you solve the problem, the more easily you will satisfy the folks up at corporate headquarters.  "
"He seems to become more corrupt, if any senator talks to more lobbyists.",He seems to become more corrupt if any senator talks to more lobbyists.  
the logs piled the barge high.,Logs were piled high on the barge.  
the road blocked with a stone.,The road was blocked by a stone.  
"Mary claimed that intelligent, I consider Holly not.",Mary claimed that Holly is not intelligent.  
The boat sank to collect the insurance.,The boat was sunk to collect the insurance.  
John paid me against the book.,John paid me back for the book.  
"Mary claimed that have eaten cabbage, Holly should.",Mary claimed that Holly should have eaten cabbage.  
"Near everyone Angleton did, Dulles stood.","Near everyone Angleton stood, Dulles stood too.  "
"The more that John gets upset by them, the more that stories about himself seem to show up in the news.","The more John gets upset by the pictures, the more stories about him seem to show up in the news.  "
"His expectations lower, the higher the stakes are.",His expectations lower as the stakes become higher.  
"The younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall, and the older one was definitely blond.  "
Frank promised the men all to leave.,Frank promised all the men that he would leave.  
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,"This is a problem that if you solve it, you’ll be able to tell the folks up at corporate headquarters to buzz off.  "
John intimately spoke to Mary.,John spoke to Mary intimately.  
Am not I going?,Am I not going?  
Anson became a muscle bound.,Anson became very muscular.  
"The more obnoxious Fred, the less you should pay attention to him.","The more obnoxious Fred becomes, the less attention you should give him.  "
I can well imagine quickly Mary answering the question.,I can easily imagine Mary answering the question quickly.  
Fruit fell against the house against the ground.,Fruit fell against the house and then to the ground.  
The witch went into the forest by vanishing.,The witch vanished into the forest.  
Sally kissed himself.,Sally kissed herself.  
"This is the book which Bob reviewed, and this is the one which Fred won't do it.","This is the book Bob reviewed, and this is the one Fred won’t review.  "
What did you ask who saw?,Who did you ask about seeing someone?  
Sue gave to Bill a book.,Sue gave Bill a book.  
They alleged many strangers to have been in that garden.,They alleged that many strangers had been in that garden.  
"It is important the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you are.  "
John would be hated to win.,John would be disliked if he won.  
Fruit at once hit the roof against the ground.,Fruit immediately hit the roof and fell to the ground.  
"Mary came to read Fred's story, and I also came to.","Mary came to read Fred’s story, and I also came to read it.  "
I shaped a loaf.,I shaped a loaf of bread.  
What the water did to the whole bottle was fill it.,What the water did to the entire bottle was fill it.  
We proved conclusively to the authorities Smith to be the thief.,We conclusively proved to the authorities that Smith was the thief.  
Packages drive easily to New York.,Packages are easily delivered to New York.  
I enjoy him taking a bath.,I enjoy him taking a bath.  
"Mary claimed that eating cabbage, Holly started.",Mary claimed that Holly started eating cabbage.  
Who does John visit Sally because he likes?,Whom does John visit because he likes Sally?  
There seemed to be intelligent.,There seemed to be intelligence present.  
I lent the book partway to Tony.,I lent the book to Tony partway.  
I wonder what who bought?,I wonder what was bought by whom.  
John is easy to please Kim.,John is easy for Kim to please.  
The cup filled the water high.,The cup was filled with water to the top.  
John perfectly rolled the ball down the hill.,John rolled the ball down the hill perfectly.  
There is too likely to be a riot to be a serious discussion of the issues.,The likelihood of a riot is too high for a serious discussion of the issues.  
You give every senator enough opportunity and he will succumb to corruption.,"If you give every senator enough opportunity, he will succumb to corruption.  "
What the stone did to the wall was hit it.,What the stone did to the wall was hit it.  
Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,Word got out about a plot to negotiate an honourable end to the Vietnam War.  
How fierce the battle?,How fierce was the battle?  
She goes and buying some whiskey.,She went to buy some whiskey.  
Was sunk.,It sank.  
"The more he eats, the poorer he knows a woman that gets.","The more he eats, the poorer the woman he knows gets.  "
"Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.","Before tomorrow, this girl in the red coat will put a picture of Bill on your desk.  "
The monkeys proud of their leader.,The monkeys are proud of their leader.  
John wonders where him to go.,John wonders where he should go.  
The children eat all chocolate.,The children eat all the chocolate.  
The stone knocked against the pole into the road.,The stone knocked against the pole onto the road.  
Brian threw the fence with the stick.,Brian threw the stick over the fence.  
The ship's sinking to collect the insurance was very devious.,The sinking of the ship to collect the insurance was very devious.  
Fruit hit the roof against the ground.,Fruit hit the roof and then fell to the ground.  
The proof this set is recursive is difficult.,Proving this set is recursive is challenging.  
"Mary claimed that eat cabbage, Holly made me.",Mary claimed that Holly made me eat cabbage.  
"I can well imagine if he eats more, him getting fat.","I can easily imagine that if he eats more, he will gain weight.  "
Which topic did you get bored because Mary talked about?,Which topic did you get bored with because Mary talked about it?  
John wanted to leave the room happy and leave the room he did happy.,"John wanted to leave the room happily, and leave the room he did happily.  "
Mary intended John to go abroad.,Mary intended for John to go abroad.  
Which report that John was incompetent did he submit?,Which report did John submit that claimed he was incompetent?  
"I'm going out, wherever that hurricane.","I’m going out, regardless of the hurricane.  "
"Mary claimed that would eat cabbage, Holly.",Mary claimed that Holly would eat cabbage.  
"The louder who talks, the angrier you get?","The louder someone talks, the angrier you get.  "
The maple changed into an oak from a cedar.,The maple tree changed into an oak instead of a cedar.  
"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.","My uncle didn’t buy anything for Christmas, but my aunt did, and it was bright red.  "
"Clearly, John perfectly will immediately learn French probably.","Clearly, John will immediately learn French perfectly.  "
My mother is easy to please my father and.,"My mother is easy to please, and so is my father.  "
The kids were failed by Max as a father.,Max failed the kids as a father.  
"You get angrier, the more we eat, don't we.","The more we eat, the angrier you seem to get, don’t you?  "
Us love they.,We love them.  
"The harder it has rained, how much faster a flow that appears in the river?","The harder it rains, the faster the river flows.  "
$10 was cost by this book.,This book cost $10.  
We proclaimed sincerely John to be a hero.,We sincerely proclaimed John to be a hero.  
The fatter he goes to a doctor when he gets the more he eats.,"The fatter he gets, the more often he goes to the doctor.  "
Mickey looked up it.,Mickey looked it up.  
Kim depends for Sandy.,Kim depends on Sandy.  
Us love their.,We love their actions.  
We proved to the authorities Smith to be the thief.,We proved to the authorities that Smith was the thief.  
We love they.,We love them.  
John spoke intimately French to Mary.,John spoke French to Mary intimately.  
They tried all to like John.,They all tried to like John.  
Marianne not left.,Marianne has not left.  
The cup filled water.,The cup was filled with water.  
They have no in.,They have none in. ? They have nothing to add.  
"Although I don't know which book Sam did, I do know which book Sally read.","Although I don’t know which book Sam read, I do know which book Sally read.  "
John perfectly learned French.,John learned French perfectly.  
"I did not, as Bill had thought, go to the store.","I did not go to the store, as Bill had thought.  "
I hit that you knew the answer.,I hit upon the fact that you knew the answer.  
They made him to exhaustion.,They exhausted him.  
The box gradually contained the ball.,The box slowly came to contain the ball.  
Any man didn't eat dinner.,No man ate dinner.  
What the hell do you wonder how to say?,What do you wonder is the proper way to say this?  
Fed knows which politician her to vote for.,Fred knows which politician she should vote for.  
Neither of students failed.,Neither of the students failed.  
"It is important for the more you eat, the more careful to be.","It is important that as you eat more, you remain careful.  "
He hit the ball.,He hit the ball.  
John wagered a stranger to have been in that haunted house.,John wagered that a stranger had been in the haunted house.  
"It is important for the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you should be.  "
That Fred was unpopular nominated Bill.,Fred’s unpopularity caused Bill’s nomination.  
"The fatter that that he gets bothers him, the more he eats.","The more he eats, the more he gets bothered by his weight.  "
I saw Bill while you did so Mary.,I saw Bill while you saw Mary.  
Any trouble is what I don't want.,I don’t want any trouble.  
"Bill seems to be obnoxious, but I don't think that Sam happens.","Bill seems obnoxious, but I don't think that Sam is the same way.  "
John to love Mary would be doubtful.,It would be doubtful for John to love Mary.  
I aren't going.,I am not going.  
The men were promised to leave.,The men were promised they could leave.  
Water emptied the cup.,Water filled the cup.  
A proof that God does exists.,A proof that God does exist exists.  
"I demand that John pays more, the more he eat.",I demand that John pay more as he eats more.  
The jeweller scribbled the contract with his name.,The jeweller signed the contract.  
"The candidate was dogged by charges of infidelity, or at least trying to.","The candidate was dogged by charges of infidelity, or at least by attempts to discredit them.  "
John will rain tomorrow.,It will rain tomorrow.  
My heart is pounding me.,My heart is pounding.  
Lilly recounted a story to be remembered because Holly had recounted a story to be.,Lilly recounted a story to be remembered because Holly had also recounted a memorable story.  
Cynthia chewed.,Cynthia chewed thoughtfully.  
Max failed the kids all as a father.,Max failed all the kids as a father.  
Mary believed he to have loved her.,Mary believed him to have loved her.  
The kennel which Mary made and Fido sleeps has been stolen.,The kennel that Mary made and where Fido sleeps has been stolen.  
This building is than that one.,This building is taller than that one.  
The more carefully he knows a man that worded the letter the safer he'll be.,"The more carefully he knows a man who worded the letter, the safer he’ll be.  "
The writers so believed the boy.,The writers believed the boy in such a way.  
the panther's the coat is dark black.,The panther's coat is jet black.  
There presented itself a wonderful opportunity yesterday.,A wonderful opportunity presented itself yesterday.  
Dry the baby with the cloth torn.,Dry the baby with the torn cloth.  
Mary beautifully plays the violin.,Mary plays the violin beautifully.  
The building's the roof is leaking.,The roof of the building is leaking.  
"Sally made Bill laugh, and then JosÃ© made.","Sally made Bill laugh, and then José did as well.  "
I inquired when could we leave.,I inquired when we could leave.  
Herman whipped the sugar and the cream.,Herman whipped the sugar and cream together.  
The more people I ask what he will give to the more he reads.,"The more people I ask, the more I wonder what he will give them.  "
There is strangers in that garden.,There are strangers in that garden.  
"The more you would want, the less you would eat.","The more you desire, the less you eat.  "
I can't remember the name of somebody who had misgivings.,I can’t remember the name of someone who had misgivings.  
John thinks that Mary loves himself.,John thinks that Mary loves him.  
"I know which book JosÃ© didn't read for class, and which book Lilly did it for him.",I know which book José didn’t read for class and which one Lilly read for him.  
Harry coughed us into a fit.,Harry’s coughing fit affected us all.  
John seems will win.,John seems like he will win.  
Who do you think that believes John to be innocent?,Who do you think believes that John is innocent?  
John offers many advice.,John gave a lot of advice.  
In general that he understands what's going on is surprising.,"That he understands what is going on is, in general, surprising.  "
John seems that it is likely to win.,John seems likely to win.  
I can well imagine with a hatchet Mary destroying the Jeep.,I can easily imagine Mary destroying the Jeep with a hatchet.  
Headway was unmade.,Progress was undone.  
I live at the place where Route 150 crosses the Hudson River and my dad lives at it too.,"I live where Route 150 crosses the Hudson River, and my dad lives there too.  "
Kim and Terry is happy.,Kim and Terry are happy.  
"Mary claimed that hasn't eaten cabbage, Holly.",Mary claimed that Holly hasn’t eaten cabbage.  
Jack is the person with whom Jenny fell in love with.,Jack is the person with whom Jenny fell in love.  
Mary thinks that John said that Susan likes pictures of himself?,Mary thinks that John said that Susan likes pictures of himself.  
"I know which book Mag read, and which book Bob discussed after I had.","I know which book Mag read, and which book Bob discussed after I had discussed it.  "
"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",I finally worked up enough courage to ask which people up at corporate headquarters will be satisfied the sooner I solve this problem.  
10 lb was weighed by the package.,The package weighed 10 lbs.  
"The more pictures Mary looked at, she got angrier and angrier.","The more pictures Mary looked at, the angrier she became.  "
Lilly recounted a story to remember because Holly had also recounted a story to.,Lilly recounted a story to remember because Holly had also recounted a memorable story.  
"No writer, and no playwright, meets in Vienna.",No writer or playwright meets in Vienna.  
Truman told the story Bob.,Truman told Bob the story.  
The bookcase ran,The bookcase toppled over.  
Mickey slips all the time up.,Mickey frequently slips up.  
Lora buttered at the toast.,Lora spread butter on the toast.  
Marianne left not.,Marianne did not leave.  
The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.,The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.  
The lions ate at the meat raw.,The lions ate the meat raw.  
"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",They failed to tell me which problem I will beat the competition more easily by solving.  
"We wanted to invite someone, but we couldn't decide who to.",We wanted to invite someone but couldn’t decide who.  
Mary desired John to go abroad.,Mary desired John to go abroad.  
Mickey pointed that Gary had left out.,Mickey pointed out that Gary had left.  
I gave Mary after the party a book.,I gave Mary a book after the party.  
Mary revealed himself to John.,Mary revealed herself to John.  
"The harder it rains, how much faster that do you run?","The harder it rains, the faster you must run.  "
How do you wonder whether John said that Mary solved the problem?,How do you wonder whether John said that Mary solved the problem?  
"Sally started running down the street, but only after JosÃ© started.","Sally started running down the street, but only after José started.  "
Mary came to be introduced by the bartender and I also came to be.,"Mary was introduced by the bartender, and I was also introduced.  "
How intelligent do you wonder whether I consider John?,How intelligent do you wonder whether I consider John?
"When Bill smokes, all the more Susan hates him.","When Bill smokes, Susan hates him even more.  "
"Because she's so pleasant, as for Mary I really like her.",Mary is so pleasant that I really like her.  
"I know which book Mag read, and which book Bob asked why you hadn't.","I know which book Mag read, and which book Bob asked why you hadn’t read.  "
Mary managed John to go abroad.,Mary managed to convince John to go abroad.  
"The more everyone eat, the more John keeps his big mouth shut about it, OK?","The more everyone eats, the more John refrains from talking about it, okay?  "
Which girl did Mike quip never wore this hat?,Which girl did Mike joke never wore this hat?  
How do you wonder whether Mary solved the problem?,How do you wonder whether Mary solved the problem?  
I explained to fix the sink.,I explained how to fix the sink.  
John is being discussed and Sally is being too.,"John is being discussed, and so is Sally.  "
I won't have some money.,I don’t have any money.  
John is wanted to win.,John is wanted to succeed.  
She yelled hoarse.,She yelled until she was hoarse.  
The farmer dumped the cart with apples.,The farmer dumped the cart full of apples.  
The box contained the ball from the tree.,The box contained the ball that fell from the tree.  
A pound was weighed by the book.,A pound was measured by the book.  
This building is taller and taller.,This building is getting taller and taller.  
You should sit before there.,You should sit down before that.  
Mary runs often the marathon.,Mary often runs the marathon.  
"Every student, and he wears socks, is a swinger.",Every student who wears socks is a swinger.  
What the stone did to the whole wall was hit it.,What the stone did to the entire wall was hit it.  
A proof that the claim had been made was given that John had lied.,Proof was provided that the claim had been made that John had lied.  
