input_text,target_text
"the harder it rains, how much faster a flow that do you see in the river?",The harder it rains; the faster the river's flow becomes.  
"the most you want, the least you eat.","The more you want, the less you eat.  "
you shouldn't play with rifles because play with rifles to is dangerous.,You shouldn’t play with rifles because it is dangerous to do so.  
"it is important the more you eat, the more careful for you to be.","It is important that the more you eat, the more careful you should be.  "
mary tried john to go abroad.,Mary tried to persuade John to go abroad.  
mary's criticism him was cruel.,Mary’s criticism of him was cruel.  
which house does your friend live?,Which house does your friend live in?  
bill poorly recited his lines.,Bill poorly recited his lines.  
what did you ask who medea gave?,What did you ask about whom Medea gave something to?  
john gave bill of the book.,John gave Bill part of the book.  
"bill seems to be obnoxious, but i don't think that sam tends.","Bill seems obnoxious, but I don't think that Sam tends to behave that way.  "
"i'll turn the radio down, but i won't up.","I’ll turn the radio down, but I won’t turn it up.  "
"he seems to become more corrupt, the more lobbyists every senator talks to.",He seems to become more corrupt the more lobbyists every senator talks to.  
fruit dropped from the tree from the clouds.,Fruit dropped from the tree as if from the clouds.  
the more pictures of john that he buys the more arrogant he becomes.,"The more pictures of John he buys, the more arrogant he becomes.  "
"the more people you say that will buy tickets, the happier i'll be.","The more people you say will buy tickets, the happier I’ll be.  "
i raw eat fish drunk.,I eat raw fish when I am drunk.  
the men were arrested all.,All the men were arrested.  
i want that bill left to remain a secret.,I want Bill’s departure to remain a secret.  
"the harder it rains, the faster who runs?","The harder it rains, the faster he runs.  "
he impresses his friends all as pompous.,He impresses all his friends as being pompous.  
mary is fond him.,Mary is fond of him.  
who did you ask whether mary knows why john likes?,Who did you ask whether Mary knows why John likes her?  
rusty talked about himself only after mary did talk about himself.,Rusty talked about himself only after Mary did the same.  
the cup knocked the stone apart.,The cup knocked the stone apart.  
ellen said about the present conditions.,Ellen spoke about the present conditions.  
"it is important the more you eat, the more careful to be.",It is important to be more careful the more you eat.  
a man to be in the garden is unlikely.,It is unlikely that a man is in the garden.  
jessica crammed boxes at the truck.,Jessica loaded boxes into the truck.  
i wonder you ate how much.,I wonder how much you ate.  
"it is important for the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you ought to be.  "
"bill can well imagine the more he eats, the fatter getting.","Bill can imagine that the more he eats, the fatter he becomes.  "
"i know which book mag read, and which book bob read my report that you hadn't.",I know which book Mag read and which book Bob referred to in his report that you hadn’t.  
they drank the pub.,They drank at the pub.  
the more food mary knows a man that eats the poorer she gets.,"The more food Mary knows a man eats, the poorer she becomes.  "
the lions ate raw the meat.,The lions ate the meat raw.  
john was cost $10 by the book.,The book cost John $10.  
which boy's did we elect guardian's employer president?,Whose guardian’s employer did we elect president?  
the chair pushed.,The chair was moved.  
mary considered to have loved her.,Mary was considered to have loved him.  
the fort fluttered with many flags.,The fort was adorned with many flags.  
john seems that is nice.,John seems to be nice.  
"the more does bill smoke, the more susan hates him.","The more Bill smokes, the more Susan hates him.  "
the branch dropped bare of its apple.,The branch dropped bare of its apples.  
"although mag doesn't eggplants, sally eats cabbage.","Although Mag doesn’t eat eggplants, Sally eats cabbage.  "
he belief that mary kissed bill is mistaken.,The belief that Mary kissed Bill is mistaken.  
there is arriving three men at that station.,There are three men arriving at that station.  
the writers didn't so believe the boy.,The writers did not believe the boy in such a way.  
he gets angry if john has to wait.,He gets angry if John has to wait.  
you shouldn't have played with rifles because to have is dangerous.,You shouldn’t have played with rifles because it was dangerous.  
"the more time that every senator spends with lobbyists, the more likely he succumbs to corruption.","The more time every senator spends with lobbyists, the more likely he is to succumb to corruption.  "
heidi thinks that andy to eat salmon flavored candy bars.,Heidi thinks that Andy likes eating salmon-flavoured candy bars.  
the house destroyed john.,The house was destroyed by John.  
john believes that him is sick.,John believes that he is sick.  
how many people do you wonder whether i consider intelligent?,How many people do you wonder whether I consider intelligent?  
kim alienated cats and beating his dog.,Kim alienated cats and beat his dog.  
you shouldn't play with rifles because to is dangerous.,You shouldn’t play with rifles because it is dangerous.  
no one can forgive that comment to you.,No one can forgive you for that comment.  
"the more you eat, you want the more.","The more you eat, the more you want.  "
"it is important the more you to eat, the more careful to be.","It is important that the more you eat, the more careful you must be."
which article did terry file papers without reading?,Which article did Terry file without reading the papers?  
"he seems to become more corrupt, as every senator talks to more lobbyists.",He seems to become more corrupt as every senator talks to more lobbyists.  
kick you!,Get out of here!  
"he seems to become more corrupt, if every senator talks to more lobbyists.",He seems to become more corrupt if every senator talks to more lobbyists.  
"it is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",It is the folks up at corporate headquarters who will be satisfied the sooner you solve this problem.  
himself is understood by rutherford.,Rutherford is understood by himself.  
the kids were failed as a father.,The kids were failed by Max in his role as a father.  
michelle kept the desk with the papers.,Michelle organized the desk with papers.  
i detest him taking a bath.,I detest him taking a bath.  
here's a knife with which for you to cut up the onions.,Here’s a knife for you to use to cut the onions.  
we proclaimed sincerely to the public john to be a hero.,We sincerely proclaimed John to be a hero to the public.  
the box at once contained the ball.,The box instantly contained the ball.  
bill is resembled by john.,John resembles Bill.  
"the more that pictures of himself appear in the news, the more likely john is to get arrested.","The more pictures of himself that appear in the news, the more likely John is to get arrested.  "
john is impressed by bill as pompous.,John is impressed by Bill's pompous behaviour.  
the dog barked out of the room.,The dog barked as it left the room.  
"it's we go to the meeting, that sally will tell us when.","When we go to the meeting, Sally will tell us what time to arrive.  "
"the more he eats, the fatter he goes to a doctor when he gets.","The more he eats, the more often he goes to the doctor.  "
this is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,This is a problem that you will be able to tell the folks up at corporate headquarters to buzz off if you solve it.  
the cup filled of water.,The cup was filled with water.  
what mary did bill was give a book.,What Mary gave Bill was a book.  
"which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?","The sooner you solve this problem, the more easily you will satisfy the folks at corporate headquarters.  "
mary reported he to have loved her.,Mary reported that he had loved her.  
"it is not entirely obvious if, mary listens to the grateful dead, she gets depressed.",It is not entirely obvious whether Mary listens to the Grateful Dead and gets depressed.  
"the later it gets, the more people everyone who likes pays attention to.","The later it gets, the more attention everyone who likes pays.  "
students studying english reads conrad's heart of darkness while at university.,Students studying English read Conrad’s “Heart of Darkness” in university.  
which problem do you wonder whether john said that mary solved?,Which problem do you wonder whether John said that Mary solved?  
medea tried the nurse to poison her children.,Medea tried to poison her children through the nurse.  
"i can well imagine the more him eating, the fatter him getting.","I can easily imagine that the more he eats, the fatter he gets.  "
the boys were made a good mother by aunt mary.,Aunt Mary made the boys appreciate a good mother.  
john would be liked to win.,John would be liked as the winner.  
sophie will theater.,Sophie will go to the theatre.  
they represented seriously to the dean mary as a genuine linguist.,They seriously represented Mary to the dean as a genuine linguist.  
john write books.,John writes books.  
the children amused.,The children were entertained.  
i saw the men all.,I saw all the men.  
"the more he eats, the fatter that that he gets really bothers me.","The more he eats, the more his weight bothers me.  "
"it is important the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you must be.  "
sam stood near yesterday every one of the women we'd been discussing.,Sam stood near every one of the women we had been discussing yesterday.  
the tube was escaped by gas.,Gas escaped from the tube.  
mickey teamed with the women up.,Mickey teamed up with the women.  
the ship sank to collect the insurance.,The ship was sunk to collect the insurance.  
how do you wonder whether john said mary solved the problem?,How do you wonder whether John said Mary solved the problem?  
i know a man who tom drives as drives.,I know a man who drives like Tom.  
he washed yourself.,He washed himself.  
"the richer he gets, the more john meets geniuses.",The richer he gets; the more John meets geniuses.  
we love their.,We love their company.  
the elevator rumbled itself to the ground.,The elevator rumbled its way to the ground.  
many information was provided.,A lot of information was provided.  
"we gave him enough opportunity and, sure enough, every senator succumbed to corruption.","We gave him enough opportunity, and sure enough, every senator succumbed to corruption.  "
mary reported his to have loved her.,Mary reported his assertion that he loved her.  
we yelled harry hoarse.,We yelled Harry hoarse.  
rub the cloth on the baby asleep.,Rub the cloth on the baby while they are asleep.  
i visited every town in every country i had to.,I visited every town in every country that I needed to visit.  
i ate that she was happy,I ate while she was happy.  
john to call would be unlikely.,It would be unlikely for John to call.  
linda winked her lip.,Linda pursed her lips.  
"he seems to become more corrupt, the more lobbyists any senator talks to.",He seems to become more corrupt the more lobbyists any senator talks to.  
the problem's knowledge is quite thorough.,The understanding of the problem is quite thorough.  
we proclaimed to the public john to be a hero.,We proclaimed John to be a hero to the public.  
paperback books lift onto the table easily.,Paperback books lift onto the table with ease.  
who would you prefer for to win the race?,Who would you prefer to win the race?  
they caused him to become president by making him.,They made him president by supporting him.  
the farm finally reached john after much litigation.,"After much litigation, John finally reached the farm.  "
"the more obnoxious fred, the less attention you should pay to him.","The more obnoxious Fred becomes, the less attention you should pay to him.  "
i reviewed joe's attempt to find holly while you reviewed josã©'s attempt to.,"I reviewed Joe’s attempt to find Holly, while you reviewed José’s attempt to do the same.  "
"lilly decided eating cabbage, to be.",Lilly decided to eat cabbage.  
the monkey is ate the banana,The monkey ate the banana.  
john's mother likes himself.,John's mother likes him.  
"while holly didn't discuss a report about every boy, she did every girl.","While Holly didn’t discuss a report about every boy, she discussed every girl.  "
we believed john to be a fountain in the park.,We believed John to be the fountain in the park.  
john tries to meet often mary.,John often tries to meet Mary.  
bill proud of himself john doesn't consider.,John doesn't consider Bill proud of himself.  
"i demand that the more john eat, the more he pay.","I demand that the more John eats, the more he pays.  "
"which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?","The sooner you solve the problem, the more easily you will satisfy the folks up at corporate headquarters.  "
"he seems to become more corrupt, if any senator talks to more lobbyists.",He seems to become more corrupt if any senator talks to more lobbyists.  
the logs piled the barge high.,Logs were piled high on the barge.  
the road blocked with a stone.,The road was blocked by a stone.  
"mary claimed that intelligent, i consider holly not.",Mary claimed that Holly is not intelligent.  
the boat sank to collect the insurance.,The boat was sunk to collect the insurance.  
john paid me against the book.,John paid me back for the book.  
"mary claimed that have eaten cabbage, holly should.",Mary claimed that Holly should have eaten cabbage.  
"near everyone angleton did, dulles stood.","Near everyone Angleton stood, Dulles stood too.  "
"the more that john gets upset by them, the more that stories about himself seem to show up in the news.","The more John gets upset by the pictures, the more stories about him seem to show up in the news.  "
"his expectations lower, the higher the stakes are.",His expectations lower as the stakes become higher.  
"the younger woman might have been tall and, and the older one definitely was, blond.","The younger woman might have been tall, and the older one was definitely blond.  "
frank promised the men all to leave.,Frank promised all the men that he would leave.  
this is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,"This is a problem that if you solve it, you’ll be able to tell the folks up at corporate headquarters to buzz off.  "
john intimately spoke to mary.,John spoke to Mary intimately.  
am not i going?,Am I not going?  
anson became a muscle bound.,Anson became very muscular.  
"the more obnoxious fred, the less you should pay attention to him.","The more obnoxious Fred becomes, the less attention you should give him.  "
i can well imagine quickly mary answering the question.,I can easily imagine Mary answering the question quickly.  
fruit fell against the house against the ground.,Fruit fell against the house and then to the ground.  
the witch went into the forest by vanishing.,The witch vanished into the forest.  
sally kissed himself.,Sally kissed herself.  
"this is the book which bob reviewed, and this is the one which fred won't do it.","This is the book Bob reviewed, and this is the one Fred won’t review.  "
what did you ask who saw?,Who did you ask about seeing someone?  
sue gave to bill a book.,Sue gave Bill a book.  
they alleged many strangers to have been in that garden.,They alleged that many strangers had been in that garden.  
"it is important the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you are.  "
john would be hated to win.,John would be disliked if he won.  
fruit at once hit the roof against the ground.,Fruit immediately hit the roof and fell to the ground.  
"mary came to read fred's story, and i also came to.","Mary came to read Fred’s story, and I also came to read it.  "
i shaped a loaf.,I shaped a loaf of bread.  
what the water did to the whole bottle was fill it.,What the water did to the entire bottle was fill it.  
we proved conclusively to the authorities smith to be the thief.,We conclusively proved to the authorities that Smith was the thief.  
packages drive easily to new york.,Packages are easily delivered to New York.  
i enjoy him taking a bath.,I enjoy him taking a bath.  
"mary claimed that eating cabbage, holly started.",Mary claimed that Holly started eating cabbage.  
who does john visit sally because he likes?,Whom does John visit because he likes Sally?  
there seemed to be intelligent.,There seemed to be intelligence present.  
i lent the book partway to tony.,I lent the book to Tony partway.  
i wonder what who bought?,I wonder what was bought by whom.  
john is easy to please kim.,John is easy for Kim to please.  
the cup filled the water high.,The cup was filled with water to the top.  
john perfectly rolled the ball down the hill.,John rolled the ball down the hill perfectly.  
there is too likely to be a riot to be a serious discussion of the issues.,The likelihood of a riot is too high for a serious discussion of the issues.  
you give every senator enough opportunity and he will succumb to corruption.,"If you give every senator enough opportunity, he will succumb to corruption.  "
what the stone did to the wall was hit it.,What the stone did to the wall was hit it.  
wind was gotten of a plot to negotiate an honorable end to the war in vietnam.,Word got out about a plot to negotiate an honourable end to the Vietnam War.  
how fierce the battle?,How fierce was the battle?  
she goes and buying some whiskey.,She went to buy some whiskey.  
was sunk.,It sank.  
"the more he eats, the poorer he knows a woman that gets.","The more he eats, the poorer the woman he knows gets.  "
"put a picture of bill on your desk before tomorrow, this girl in the red coat will put a picture of bill on your desk before tomorrow.","Before tomorrow, this girl in the red coat will put a picture of Bill on your desk.  "
the monkeys proud of their leader.,The monkeys are proud of their leader.  
john wonders where him to go.,John wonders where he should go.  
the children eat all chocolate.,The children eat all the chocolate.  
the stone knocked against the pole into the road.,The stone knocked against the pole onto the road.  
brian threw the fence with the stick.,Brian threw the stick over the fence.  
the ship's sinking to collect the insurance was very devious.,The sinking of the ship to collect the insurance was very devious.  
fruit hit the roof against the ground.,Fruit hit the roof and then fell to the ground.  
the proof this set is recursive is difficult.,Proving this set is recursive is challenging.  
"mary claimed that eat cabbage, holly made me.",Mary claimed that Holly made me eat cabbage.  
"i can well imagine if he eats more, him getting fat.","I can easily imagine that if he eats more, he will gain weight.  "
which topic did you get bored because mary talked about?,Which topic did you get bored with because Mary talked about it?  
john wanted to leave the room happy and leave the room he did happy.,"John wanted to leave the room happily, and leave the room he did happily.  "
mary intended john to go abroad.,Mary intended for John to go abroad.  
which report that john was incompetent did he submit?,Which report did John submit that claimed he was incompetent?  
"i'm going out, wherever that hurricane.","I’m going out, regardless of the hurricane.  "
"mary claimed that would eat cabbage, holly.",Mary claimed that Holly would eat cabbage.  
"the louder who talks, the angrier you get?","The louder someone talks, the angrier you get.  "
the maple changed into an oak from a cedar.,The maple tree changed into an oak instead of a cedar.  
"my uncle didn't buy anything for christmas, but my aunt did it for him and it was bright red.","My uncle didn’t buy anything for Christmas, but my aunt did, and it was bright red.  "
"clearly, john perfectly will immediately learn french probably.","Clearly, John will immediately learn French perfectly.  "
my mother is easy to please my father and.,"My mother is easy to please, and so is my father.  "
the kids were failed by max as a father.,Max failed the kids as a father.  
"you get angrier, the more we eat, don't we.","The more we eat, the angrier you seem to get, don’t you?  "
us love they.,We love them.  
"the harder it has rained, how much faster a flow that appears in the river?","The harder it rains, the faster the river flows.  "
$10 was cost by this book.,This book cost $10.  
we proclaimed sincerely john to be a hero.,We sincerely proclaimed John to be a hero.  
the fatter he goes to a doctor when he gets the more he eats.,"The fatter he gets, the more often he goes to the doctor.  "
mickey looked up it.,Mickey looked it up.  
kim depends for sandy.,Kim depends on Sandy.  
us love their.,We love their actions.  
we proved to the authorities smith to be the thief.,We proved to the authorities that Smith was the thief.  
we love they.,We love them.  
john spoke intimately french to mary.,John spoke French to Mary intimately.  
they tried all to like john.,They all tried to like John.  
marianne not left.,Marianne has not left.  
the cup filled water.,The cup was filled with water.  
they have no in.,They have none in. ? They have nothing to add.  
"although i don't know which book sam did, i do know which book sally read.","Although I don’t know which book Sam read, I do know which book Sally read.  "
john perfectly learned french.,John learned French perfectly.  
"i did not, as bill had thought, go to the store.","I did not go to the store, as Bill had thought.  "
i hit that you knew the answer.,I hit upon the fact that you knew the answer.  
they made him to exhaustion.,They exhausted him.  
the box gradually contained the ball.,The box slowly came to contain the ball.  
any man didn't eat dinner.,No man ate dinner.  
what the hell do you wonder how to say?,What do you wonder is the proper way to say this?  
fed knows which politician her to vote for.,Fred knows which politician she should vote for.  
neither of students failed.,Neither of the students failed.  
"it is important for the more you eat, the more careful to be.","It is important that as you eat more, you remain careful.  "
he hit the ball.,He hit the ball.  
john wagered a stranger to have been in that haunted house.,John wagered that a stranger had been in the haunted house.  
"it is important for the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you should be.  "
that fred was unpopular nominated bill.,Fred’s unpopularity caused Bill’s nomination.  
"the fatter that that he gets bothers him, the more he eats.","The more he eats, the more he gets bothered by his weight.  "
i saw bill while you did so mary.,I saw Bill while you saw Mary.  
any trouble is what i don't want.,I don’t want any trouble.  
"bill seems to be obnoxious, but i don't think that sam happens.","Bill seems obnoxious, but I don't think that Sam is the same way.  "
john to love mary would be doubtful.,It would be doubtful for John to love Mary.  
i aren't going.,I am not going.  
the men were promised to leave.,The men were promised they could leave.  
water emptied the cup.,Water filled the cup.  
a proof that god does exists.,A proof that God does exist exists.  
"i demand that john pays more, the more he eat.",I demand that John pay more as he eats more.  
the jeweller scribbled the contract with his name.,The jeweller signed the contract.  
"the candidate was dogged by charges of infidelity, or at least trying to.","The candidate was dogged by charges of infidelity, or at least by attempts to discredit them.  "
john will rain tomorrow.,It will rain tomorrow.  
my heart is pounding me.,My heart is pounding.  
lilly recounted a story to be remembered because holly had recounted a story to be.,Lilly recounted a story to be remembered because Holly had also recounted a memorable story.  
cynthia chewed.,Cynthia chewed thoughtfully.  
max failed the kids all as a father.,Max failed all the kids as a father.  
mary believed he to have loved her.,Mary believed him to have loved her.  
the kennel which mary made and fido sleeps has been stolen.,The kennel that Mary made and where Fido sleeps has been stolen.  
this building is than that one.,This building is taller than that one.  
the more carefully he knows a man that worded the letter the safer he'll be.,"The more carefully he knows a man who worded the letter, the safer he’ll be.  "
the writers so believed the boy.,The writers believed the boy in such a way.  
the panther's the coat is dark black.,The panther's coat is jet black.  
there presented itself a wonderful opportunity yesterday.,A wonderful opportunity presented itself yesterday.  
dry the baby with the cloth torn.,Dry the baby with the torn cloth.  
mary beautifully plays the violin.,Mary plays the violin beautifully.  
the building's the roof is leaking.,The roof of the building is leaking.  
"sally made bill laugh, and then josã© made.","Sally made Bill laugh, and then José did as well.  "
i inquired when could we leave.,I inquired when we could leave.  
herman whipped the sugar and the cream.,Herman whipped the sugar and cream together.  
the more people i ask what he will give to the more he reads.,"The more people I ask, the more I wonder what he will give them.  "
there is strangers in that garden.,There are strangers in that garden.  
"the more you would want, the less you would eat.","The more you desire, the less you eat.  "
i can't remember the name of somebody who had misgivings.,I can’t remember the name of someone who had misgivings.  
john thinks that mary loves himself.,John thinks that Mary loves him.  
"i know which book josã© didn't read for class, and which book lilly did it for him.",I know which book José didn’t read for class and which one Lilly read for him.  
harry coughed us into a fit.,Harry’s coughing fit affected us all.  
john seems will win.,John seems like he will win.  
who do you think that believes john to be innocent?,Who do you think believes that John is innocent?  
john offers many advice.,John gave a lot of advice.  
in general that he understands what's going on is surprising.,"That he understands what is going on is, in general, surprising.  "
john seems that it is likely to win.,John seems likely to win.  
i can well imagine with a hatchet mary destroying the jeep.,I can easily imagine Mary destroying the Jeep with a hatchet.  
headway was unmade.,Progress was undone.  
i live at the place where route 150 crosses the hudson river and my dad lives at it too.,"I live where Route 150 crosses the Hudson River, and my dad lives there too.  "
kim and terry is happy.,Kim and Terry are happy.  
"mary claimed that hasn't eaten cabbage, holly.",Mary claimed that Holly hasn’t eaten cabbage.  
jack is the person with whom jenny fell in love with.,Jack is the person with whom Jenny fell in love.  
mary thinks that john said that susan likes pictures of himself?,Mary thinks that John said that Susan likes pictures of himself.  
"i know which book mag read, and which book bob discussed after i had.","I know which book Mag read, and which book Bob discussed after I had discussed it.  "
"i finally worked up enough courage to ask which people up at corporate headquarters the sooner i solve this problem, the quicker i'll get free of.",I finally worked up enough courage to ask which people up at corporate headquarters will be satisfied the sooner I solve this problem.  
10 lb was weighed by the package.,The package weighed 10 lbs.  
"the more pictures mary looked at, she got angrier and angrier.","The more pictures Mary looked at, the angrier she became.  "
lilly recounted a story to remember because holly had also recounted a story to.,Lilly recounted a story to remember because Holly had also recounted a memorable story.  
"no writer, and no playwright, meets in vienna.",No writer or playwright meets in Vienna.  
truman told the story bob.,Truman told Bob the story.  
the bookcase ran,The bookcase toppled over.  
mickey slips all the time up.,Mickey frequently slips up.  
lora buttered at the toast.,Lora spread butter on the toast.  
marianne left not.,Marianne did not leave.  
the mayor regarded as being absurd the proposal to build a sidewalk from dartmouth to smith.,The mayor regarded the proposal to build a sidewalk from Dartmouth to Smith as absurd.  
the lions ate at the meat raw.,The lions ate the meat raw.  
"they failed to tell me which problem i'll beat the competition more easily, the sooner i solve.",They failed to tell me which problem I will beat the competition more easily by solving.  
"we wanted to invite someone, but we couldn't decide who to.",We wanted to invite someone but couldn’t decide who.  
mary desired john to go abroad.,Mary desired John to go abroad.  
mickey pointed that gary had left out.,Mickey pointed out that Gary had left.  
i gave mary after the party a book.,I gave Mary a book after the party.  
mary revealed himself to john.,Mary revealed herself to John.  
"the harder it rains, how much faster that do you run?","The harder it rains, the faster you must run.  "
how do you wonder whether john said that mary solved the problem?,How do you wonder whether John said that Mary solved the problem?  
"sally started running down the street, but only after josã© started.","Sally started running down the street, but only after José started.  "
mary came to be introduced by the bartender and i also came to be.,"Mary was introduced by the bartender, and I was also introduced.  "
how intelligent do you wonder whether i consider john?,How intelligent do you wonder whether I consider John?
"when bill smokes, all the more susan hates him.","When Bill smokes, Susan hates him even more.  "
"because she's so pleasant, as for mary i really like her.",Mary is so pleasant that I really like her.  
"i know which book mag read, and which book bob asked why you hadn't.","I know which book Mag read, and which book Bob asked why you hadn’t read.  "
mary managed john to go abroad.,Mary managed to convince John to go abroad.  
"the more everyone eat, the more john keeps his big mouth shut about it, ok?","The more everyone eats, the more John refrains from talking about it, okay?  "
which girl did mike quip never wore this hat?,Which girl did Mike joke never wore this hat?  
how do you wonder whether mary solved the problem?,How do you wonder whether Mary solved the problem?  
i explained to fix the sink.,I explained how to fix the sink.  
john is being discussed and sally is being too.,"John is being discussed, and so is Sally.  "
i won't have some money.,I don’t have any money.  
john is wanted to win.,John is wanted to succeed.  
she yelled hoarse.,She yelled until she was hoarse.  
the farmer dumped the cart with apples.,The farmer dumped the cart full of apples.  
the box contained the ball from the tree.,The box contained the ball that fell from the tree.  
a pound was weighed by the book.,A pound was measured by the book.  
this building is taller and taller.,This building is getting taller and taller.  
you should sit before there.,You should sit down before that.  
mary runs often the marathon.,Mary often runs the marathon.  
"every student, and he wears socks, is a swinger.",Every student who wears socks is a swinger.  
what the stone did to the whole wall was hit it.,What the stone did to the entire wall was hit it.  
a proof that the claim had been made was given that john had lied.,Proof was provided that the claim had been made that John had lied.  
she hit the ball.,She hit the ball.  
the professor talked us.,The professor spoke to us.  
who is he reading a book that criticizes?,Who is he reading a book that criticizes?  
a man to come is unlikely.,It is unlikely for a man to come.  
blue leather shows herself that betsy is pretty.,Blue leather shows that Betsy is pretty.  
mary considered his to have loved her.,Mary considered his claim that he loved her.  
truman visited yesterday you.,Truman visited you yesterday.  
"only churchill remembered churchill giving the blood, sweat and tears speech.","Only Churchill remembered Churchill giving the ""Blood, Sweat, and Tears"" speech.  "
