input_text,target_text
Carla slid at the book.,Carla slid the book across the table.  
Packages drive easily to New York.,Packages are easily delivered to New York.  
The chair pushed.,The chair was moved.  
A job offered.,A job was offered.  
Michelle kept the desk with the papers.,Michelle organized the desk with papers.  
Herman whipped the sugar and the cream.,Herman whipped the sugar and cream together.  
This flyer and that flyer differ apart.,This flyer and that flyer differ significantly.  
The jeweller scribbled the contract with his name.,The jeweller signed the contract.  
I shaped a loaf.,I shaped a loaf of bread.  
The children amused.,The children were entertained.  
Ellen said about the present conditions.,Ellen spoke about the present conditions.  
Cynthia chewed.,Cynthia chewed thoughtfully.  
Linda winked her lip.,Linda pursed her lips.  
My heart is pounding me.,My heart is pounding.  
I squeaked the door.,I squeaked the door open.  
The fort fluttered with many flags.,The fort was adorned with many flags.  
There presented itself a wonderful opportunity yesterday.,A wonderful opportunity presented itself yesterday.  
many information was provided.,A lot of information was provided.  
John offers many advice.,John gave a lot of advice.  
Wash you!,Clean yourself!  
They have no in.,They have none in. ? They have nothing to add.  
Some my jobs are in jeopardy.,Some of my jobs are in jeopardy.  
It was the policeman met that several young students in the park last night.,It was the policeman who met several young students in the park last night.  
The monkeys proud of their leader.,The monkeys are proud of their leader.  
John sounded very.,John sounded very confident.  
A good friend is remained to me by him.,He remains a good friend to me.  
John put under the bathtub.,John hid under the bathtub.  
Kim depends for Sandy.,Kim depends on Sandy.  
Kim put in the box.,Kim placed it in the box.  
That Fred was unpopular nominated Bill.,Fred’s unpopularity caused Bill’s nomination.  
John paid me against the book.,John paid me back for the book.  
Students studying English reads Conrad's Heart of Darkness while at university.,Students studying English read Conrad’s “Heart of Darkness” in university.  
Neither of students failed.,Neither of the students failed.  
I drank some of water.,I drank some water.  
He washed yourself.,He washed himself.  
John is easy to please Kim.,John is easy for Kim to please.  
There seemed to be intelligent.,There seemed to be intelligence present.  
We believed John to be a fountain in the park.,We believed John to be the fountain in the park.  
It tries to leave the country.,It is trying to leave the country.  
There is believed to be sheep in the park.,There are believed to be sheep in the park.  
I hope to would study in France.,I hope to study in France.  
John will rain tomorrow.,It will rain tomorrow.  
We expect there to will rain.,We expect it to rain.  
Did the child be in the school?,Was the child at school?  
A pound was weighed by the book.,A pound was measured by the book.  
Fed knows which politician her to vote for.,Fred knows which politician she should vote for.  
Which house does your friend live?,Which house does your friend live in?  
Jack is the person with whom Jenny fell in love with.,Jack is the person with whom Jenny fell in love.  
Which topic did you get bored because Mary talked about?,Which topic did you get bored with because Mary talked about it?  
Who achieved the best result was Angela.,Angela was the one who achieved the best result.  
"That he was hungry, John whined.",John whined that he was hungry.  
I gave Mary after the party a book.,I gave Mary a book after the party.  
"Because she's so pleasant, as for Mary I really like her.",Mary is so pleasant that I really like her.  
Any trouble is what I don't want.,I don’t want any trouble.  
Sally kissed himself.,Sally kissed herself.  
Blue leather shows herself that Betsy is pretty.,Blue leather shows that Betsy is pretty.  
I hit that you knew the answer.,I hit upon the fact that you knew the answer.  
the book of poems and from Blackwell takes a very long time to read.,The book of poems from Blackwell takes a very long time to read.  
The building's the roof is leaking.,The roof of the building is leaking.  
the panther's the coat is dark black.,The panther's coat is jet black.  
Heidi thinks that Andy to eat salmon flavored candy bars.,Heidi thinks that Andy likes eating salmon-flavoured candy bars.  
Did Calvin his homework?,Did Calvin do his homework?  
"If I am a rich man, I'd buy a diamond ring.","If I were a rich man, I would buy a diamond ring.  "
Was sunk.,It sank.  
John thinks that Mary loves himself.,John thinks that Mary loves him.  
Any man didn't eat dinner.,No man ate dinner.  
"You may pick every flower, but leave a few for Mary.","You may pick every flower, but leave a few for Mary.  "
The kennel which Mary made and Fido sleeps has been stolen.,The kennel that Mary made and where Fido sleeps has been stolen.  
Kim alienated cats and beating his dog.,Kim alienated cats and beat his dog.  
Which article did Terry file papers without reading?,Which article did Terry file without reading the papers?  
She goes and buying some whiskey.,She went to buy some whiskey.  
Kim and Terry is happy.,Kim and Terry are happy.  
"Put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow.","Before tomorrow, this girl in the red coat will put a picture of Bill on your desk.  "
"Picture of Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",A picture of Bill will be placed on your desk by this girl in the red coat before tomorrow.  
John whispered Mary left.,John whispered that Mary left.  
Mary wonders that Bill will come.,Mary wonders if Bill will come.  
Sophie will theater.,Sophie will go to the theatre.  
Herself likes Mary's mother.,Mary’s mother likes herself.  
John's mother likes himself.,John's mother likes him.  
Mary revealed himself to John.,Mary revealed herself to John.  
John heard that they criticized themselves.,John heard that they criticized themselves.  
You should sit before there.,You should sit down before that.  
Everyone hopes everyone to sleep.,Everyone hopes everyone else sleeps.  
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.","Only Churchill remembered Churchill giving the ""Blood, Sweat, and Tears"" speech.  "
I saw Bill while you did so Mary.,I saw Bill while you saw Mary.  
What Mary did Bill was give a book.,What Mary gave Bill was a book.  
Anson demonized,Anson demonized others.  
Anson demonized up the Khyber,Anson demonized his enemies up the Khyber.  
Kick you!,Get out of here!  
What did you ask who Medea gave?,What did you ask about whom Medea gave something to?  
Medea tried the nurse to poison her children.,Medea tried to poison her children through the nurse.  
I ate that she was happy,I ate while she was happy.  
Gilgamesh is having fought the dragon.,Gilgamesh is known for having fought the dragon.  
Anson thought that himself was happy.,Anson thought that he was happy.  
I thought he liked myself,I thought he liked me.  
What did you ask who saw?,Who did you ask about seeing someone?  
He can will go,He will be able to go.  
How fierce the battle?,How fierce was the battle?  
Which king did you ask which city invaded?,Which king did you ask about which city he invaded?  
I inquired when could we leave.,I inquired when we could leave.  
The monkey is ate the banana,The monkey ate the banana.  
I would like to could swim,I would like to be able to swim.  
The bookcase ran,The bookcase toppled over.  
Anson became a muscle bound.,Anson became very muscular.  
They drank the pub.,They drank at the pub.  
The professor talked us.,The professor spoke to us.  
We yelled ourselves.,We yelled at each other.  
We yelled Harry hoarse.,We yelled Harry hoarse.  
Harry coughed himself.,Harry coughed until he was hoarse.  
Harry coughed us into a fit.,Harry’s coughing fit affected us all.  
They caused him to become angry by making him.,They made him angry by provoking him.  
They caused him to become president by making him.,They made him president by supporting him.  
They made him to exhaustion.,They exhausted him.  
The car honked down the road.,The car honked as it drove down the road.  
The dog barked out of the room.,The dog barked as it left the room.  
The witch went into the forest by vanishing.,The witch vanished into the forest.  
The building is tall and tall.,The building is extremely tall.  
This building is taller and taller.,This building is getting taller and taller.  
This building got than that one.,This building became taller than that one.  
This building is than that one.,This building is taller than that one.  
Bill floated into the cave for hours.,Bill floated in the cave for hours.  
Bill pushed Harry off the sofa for hours.,Bill pushed Harry off the sofa repeatedly for hours.  
Bill cried Sue to sleep.,Bill cried until Sue fell asleep.  
The elevator rumbled itself to the ground.,The elevator rumbled its way to the ground.  
She yelled hoarse.,She yelled until she was hoarse.  
Ted cried to sleep.,Ted cried himself to sleep.  
The ball wriggled itself loose.,The ball wriggled itself loose.  
"The most you want, the least you eat.","The more you want, the less you eat.  "
"I demand that the more John eat, the more he pay.","I demand that the more John eats, the more he pays.  "
"I demand that John pays more, the more he eat.",I demand that John pay more as he eats more.  
"You get angrier, the more we eat, don't we.","The more we eat, the angrier you seem to get, don’t you?  "
"The harder it has rained, how much faster a flow that appears in the river?","The harder it rains, the faster the river flows.  "
"The harder it rains, how much faster that do you run?","The harder it rains, the faster you must run.  "
"The harder it rains, how much faster a flow that do you see in the river?",The harder it rains; the faster the river's flow becomes.  
"As it rains harder, how much faster a flow that appears in the river?","As it rains harder, the river’s flow becomes faster.  "
"When it rains harder, how much faster a flow that appears in the river?","When it rains harder, the river flows faster.  "
"The more John eats, the tighter keep your mouth shut about it.","The more John eats, the quieter you should keep about it.  "
"The more everyone eat, the more John keeps his big mouth shut about it, OK?","The more everyone eats, the more John refrains from talking about it, okay?  "
"I can well imagine the more him eating, the fatter him getting.","I can easily imagine that the more he eats, the fatter he gets.  "
"Bill can well imagine the more he eats, the fatter getting.","Bill can imagine that the more he eats, the fatter he becomes.  "
"It is important the more you eat, the more careful to be.",It is important to be more careful the more you eat.  
"It is important for the more you eat, the more careful to be.","It is important that as you eat more, you remain careful.  "
"It is important the more you to eat, the more careful to be.","It is important that the more you eat, the more careful you must be."
"It is important the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you must be.  "
"It is important the more you eat, the more careful for you to be.","It is important that the more you eat, the more careful you should be.  "
"It is important for the more you to eat, the more careful to be.","It is important that the more you eat, the more careful you need to be.  "
"It is important for the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you ought to be.  "
"It is important the more you to eat, the more careful for you to be.","It is important that the more you eat, the more careful you are.  "
"It is important for the more you eat, the more careful you to be.","It is important that the more you eat, the more careful you should be.  "
I can well imagine quickly Mary answering the question.,I can easily imagine Mary answering the question quickly.  
I can well imagine with a hatchet Mary destroying the Jeep.,I can easily imagine Mary destroying the Jeep with a hatchet.  
"I can well imagine if he eats more, him getting fat.","I can easily imagine that if he eats more, he will gain weight.  "
"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",It is not entirely obvious whether Mary listens to the Grateful Dead and gets depressed.  
"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",It is not entirely obvious whether Mary listens to the Grateful Dead and gets depressed.  
"The more pictures Mary looked at, she got angrier and angrier.","The more pictures Mary looked at, the angrier she became.  "
"His expectations lower, the higher the stakes.",His expectations lower as the stakes increase.  
"His expectations lower, the higher the stakes are.",His expectations lower as the stakes become higher.  
"The more obnoxious Fred, the less attention you should pay to him.","The more obnoxious Fred becomes, the less attention you should pay to him.  "
"The more obnoxious Fred, the less you should pay attention to him.","The more obnoxious Fred becomes, the less attention you should give him.  "
"I don't plan to lock the door, no matter how fancy this hotel.","I don’t plan to lock the door, no matter how fancy this hotel is.  "
"I'm going out, wherever that hurricane.","I’m going out, regardless of the hurricane.  "
The more food Mary knows a man that eats the poorer she gets.,"The more food Mary knows a man eats, the poorer she becomes.  "
The fatter he goes to a doctor when he gets the more he eats.,"The fatter he gets, the more often he goes to the doctor.  "
"The fatter that that he gets bothers him, the more he eats.","The more he eats, the more he gets bothered by his weight.  "
"The more books I ask to whom he will give, the more he reads.","The more books I ask about, the more I wonder whom he will give them to.  "
The more people I ask what he will give to the more he reads.,"The more people I ask, the more I wonder what he will give them.  "
The more carefully he knows a man that worded the letter the safer he'll be.,"The more carefully he knows a man who worded the letter, the safer he’ll be.  "
"The more John meets geniuses, the angrier he gets.","The more John meets geniuses, the angrier he becomes.  "
"The more people you say that will buy tickets, the happier I'll be.","The more people you say will buy tickets, the happier I’ll be.  "
"The more he eats, the poorer he knows a woman that gets.","The more he eats, the poorer the woman he knows gets.  "
"The more he eats, the fatter he goes to a doctor when he gets.","The more he eats, the more often he goes to the doctor.  "
"The more he eats, the fatter that that he gets really bothers me.","The more he eats, the more his weight bothers me.  "
"The more he reads, the more books I wonder to whom he will give.","The more he reads, the more I wonder to whom he will give the books.  "
"The more he reads, the more people I wonder what he will give to.","The more he reads, the more I wonder whom he will give them to.  "
"The sooner you call, the more carefully I know a man that will word the letter.","The sooner you call, the more carefully I will know how to word the letter.  "
"The richer he gets, the more John meets geniuses.",The richer he gets; the more John meets geniuses.  
"The more articles he reads, the fewer people he thinks that will go into linguistics.","The more articles he reads, the fewer people he thinks will enter linguistics.  "
The more pictures of John that he buys the more arrogant he becomes.,"The more pictures of John he buys, the more arrogant he becomes.  "
The man arrived on the train was my brother.,The man who arrived on the train is my brother.  
"The more people everyone who likes pays attention to, the happier we all are.","The more people everyone who likes pays attention to, the happier we all are.  "
"The later it gets, the more people everyone who likes pays attention to.","The later it gets, the more attention everyone who likes pays.  "
"When Bill smokes, much more does Susan hate him.","When Bill smokes, Susan hates him even more.  "
"When Bill smokes, all the more Susan hates him.","When Bill smokes, Susan hates him even more.  "
"You eat the more, the more you want.","The more you eat, the more you want.  "
"The more you eat, you want the more.","The more you eat, the more you want.  "
I wonder you ate how much.,I wonder how much you ate.  
"He gets angry, the longer John has to wait.",He gets angry the longer John has to wait.  
He gets angry if John has to wait.,He gets angry if John has to wait.  
"The more pictures of himself appear in the news, the more likely John is to get arrested.","The more pictures of himself that appear in the news, the more likely John is to get arrested.  "
"The more that pictures of himself appear in the news, the more likely John is to get arrested.","The more pictures of himself that appear in the news, the more likely John is to get arrested.  "
"The more that John gets upset by them, the more that stories about himself seem to show up in the news.","The more John gets upset by the pictures, the more stories about him seem to show up in the news.  "
"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.","The more John gets upset by the stories, the more they seem to show up in the evening news.  "
"We gave him enough opportunity and, sure enough, every senator succumbed to corruption.","We gave him enough opportunity, and sure enough, every senator succumbed to corruption.  "
You give every senator enough opportunity and he will succumb to corruption.,"If you give every senator enough opportunity, he will succumb to corruption.  "
"We gave any senator enough opportunity and, sure enough, he succumbed to corruption.","We gave any senator enough opportunity, and sure enough, he succumbed to corruption.  "
"We gave every senator enough opportunity and, sure enough, he succumbed to corruption.","We gave every senator enough opportunity, and sure enough, he succumbed to corruption.  "
"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption.","The more time every senator spends with lobbyists, the more likely he is to succumb to corruption.  "
"He seems to become more corrupt, the more lobbyists any senator talks to.",He seems to become more corrupt the more lobbyists any senator talks to.  
"He seems to become more corrupt, the more lobbyists every senator talks to.",He seems to become more corrupt the more lobbyists every senator talks to.  
"He seems to become more corrupt, if any senator talks to more lobbyists.",He seems to become more corrupt if any senator talks to more lobbyists.  
"He seems to become more corrupt, if every senator talks to more lobbyists.",He seems to become more corrupt if every senator talks to more lobbyists.  
"He seems to become more corrupt, as every senator talks to more lobbyists.",He seems to become more corrupt as every senator talks to more lobbyists.  
"He seems to become more corrupt, as any senator talks to more lobbyists.",He seems to become more corrupt as any senator talks to more lobbyists.  
"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy.",It is the folks up at corporate headquarters who will be satisfied the sooner you solve this problem.  
"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?","The sooner you solve the problem, the more easily you’ll satisfy the folks up at corporate headquarters.  "
"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?","The sooner you solve the problem, the more easily you will satisfy the folks up at corporate headquarters.  "
"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?","The sooner you solve this problem, the more easily you will satisfy the folks at corporate headquarters.  "
"The harder it rains, the faster who runs?","The harder it rains, the faster he runs.  "
"The louder who talks, the angrier you get?","The louder someone talks, the angrier you get.  "
"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of.",I finally worked up enough courage to ask which people up at corporate headquarters will be satisfied the sooner I solve this problem.  
"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?",Which folks up at corporate headquarters do you think will be satisfied the sooner you solve this problem?  
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.,This is a problem that you will be able to tell the folks up at corporate headquarters to buzz off if you solve it.  
This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.,"This is a problem that if you solve it, you’ll be able to tell the folks up at corporate headquarters to buzz off.  "
Those are the folks that you just solve this problem and you'll be able to put them on ice.,Those are the folks that you’ll be able to put on ice once you solve this problem.  
"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve.",They failed to tell me which problem I will beat the competition more easily by solving.  
"This is the problem that you'll beat the competition more easily, the sooner you solve.",This is the problem that you will beat the competition more easily by solving.  
He hit the ball.,He hit the ball.  
She hit the ball.,She hit the ball.  
Am not I going?,Am I not going?  
I aren't going.,I am not going.  
Marianne not left.,Marianne has not left.  
Marianne left not.,Marianne did not leave.  
Can he not have been working?,Can he not have been working?  
John write books.,John writes books.  
John wrote books.,John wrote books.  
John seems that is nice.,John seems to be nice.  
John kisses often Mary.,John often kisses Mary.  
Who did you ask whether Mary knows why John likes?,Who did you ask whether Mary knows why John likes her?  
How do you wonder whether Mary solved the problem?,How do you wonder whether Mary solved the problem?  
How do you wonder whether John said that Mary solved the problem?,How do you wonder whether John said that Mary solved the problem?  
How do you wonder whether John said Mary solved the problem?,How do you wonder whether John said Mary solved the problem?  
Which problem do you wonder whether John said that Mary solved?,Which problem do you wonder whether John said that Mary solved?  
Mary thinks that John said that Susan likes pictures of himself?,Mary thinks that John said that Susan likes pictures of himself.  
You will Bob believe.,You will believe Bob.  
How do you wonder who could solve this problem.,How do you wonder who could solve this problem?  
The fact that no candidate was elected shows that he was inadequate.,The fact that no candidate was elected shows that he was inadequate.  
He sees often Mary.,He often sees Mary.  
Sees he I often Mary?,Does he often see Mary?  
John seems that it is likely to win.,John seems likely to win.  
John seems will win.,John seems like he will win.  
How do you wonder which problem to solve?,How do you wonder which problem to solve?  
How many people do you wonder whether I consider intelligent?,How many people do you wonder whether I consider intelligent?  
How intelligent do you wonder whether I consider John?,How intelligent do you wonder whether I consider John?
What the hell do you wonder how to say?,What do you wonder is the proper way to say this?  
A man to be in the garden is unlikely.,It is unlikely that a man is in the garden.  
A man to come is unlikely.,It is unlikely for a man to come.  
John to call would be unlikely.,It would be unlikely for John to call.  
This conclusion to be arrived at is surprising.,Arriving at this conclusion is surprising.  
John believes that him is sick.,John believes that he is sick.  
John tries him to win.,John tries to win.  
John wonders where him to go.,John wonders where he should go.  
Who do you think that believes John to be innocent?,Who do you think believes that John is innocent?  
Who would you prefer for to win the race?,Who would you prefer to win the race?  
The children eat all chocolate.,The children eat all the chocolate.  
It's probable in general that he understands what's going on.,"It is probable, in general, that he understands what is happening.  "
In general that he understands what's going on is surprising.,"That he understands what is going on is, in general, surprising.  "
I explained to fix the sink.,I explained how to fix the sink.  
Mickey teamed with the women up.,Mickey teamed up with the women.  
Mickey pointed that Gary had left out.,Mickey pointed out that Gary had left.  
Mickey slips all the time up.,Mickey frequently slips up.  
John thinks what Mary bought.,John is thinking about what Mary bought.  
What does John wonder Mary bought?,What does John wonder Mary buy?  
Who is he reading a book that criticizes?,Who is he reading a book that criticizes?  
What do you remember where we bought?,What do you remember about where we bought it?  
I wonder who what bought?,I wonder who bought what.  
I wonder what who bought?,I wonder what was bought by whom.  
The boat sank to collect the insurance.,The boat was sunk to collect the insurance.  
Headway was unmade.,Progress was undone.  
John was unknown to be the murderer.,It was unknown that John was the murderer.  
Did he try ever to talk to the student?,Did he ever try to talk to the student?  
There is too likely to be a riot to be a serious discussion of the issues.,The likelihood of a riot is too high for a serious discussion of the issues.  
"Bill seems to be obnoxious, but I don't think that Sam happens.","Bill seems obnoxious, but I don't think that Sam is the same way.  "
"Bill seems to be obnoxious, but I don't think that Sam turns out.","Bill seems obnoxious, but I don't think that Sam turns out to be.  "
"Bill seems to be obnoxious, but I don't think that Sam tends.","Bill seems obnoxious, but I don't think that Sam tends to behave that way.  "
They tried all to like John.,They all tried to like John.  
John is wanted to win.,John is wanted to succeed.  
John would be liked to win.,John would be liked as the winner.  
John would be hated to win.,John would be disliked if he won.  
John would be preferred to be the candidate.,John would be preferred as the candidate.  
The house destroyed John.,The house was destroyed by John.  
The electrode was left by ions.,The electrode was left behind by the ions.  
The box gradually contained the ball.,The box slowly came to contain the ball.  
The box at once contained the ball.,The box instantly contained the ball.  
The box contained the ball to the ground.,The box contained the ball on the ground.  
Fruit hit the roof against the ground.,Fruit hit the roof and then fell to the ground.  
Fruit at once hit the roof against the ground.,Fruit immediately hit the roof and fell to the ground.  
Fruit dropped from the tree from the clouds.,Fruit dropped from the tree as if from the clouds.  
Fruit fell against the house.,Fruit fell against the house.  
Fruit fell against the house against the ground.,Fruit fell against the house and then to the ground.  
The maple changed into an oak from a cedar.,The maple tree changed into an oak instead of a cedar.  
The farm finally reached John after much litigation.,"After much litigation, John finally reached the farm.  "
Water emptied the cup.,Water filled the cup.  
The cup filled the water high.,The cup was filled with water to the top.  
The cup filled of water.,The cup was filled with water.  
The cup emptied with water.,The cup was emptied of water.  
the road blocked with a stone.,The road was blocked by a stone.  
the branch dropped bare of its apple.,The branch dropped bare of its apples.  
the logs piled the barge high.,Logs were piled high on the barge.  
the bottle drained the liquid free.,The bottle was drained of its liquid.  
The tree broke off some branches.,The tree broke off several branches.  
The kettle bubbled water up.,The kettle bubbled over with water.  
The cup filled water.,The cup was filled with water.  
The stone knocked the pole into the road.,The stone knocked the pole onto the road.  
The stone knocked against the pole into the road.,The stone knocked against the pole onto the road.  
The window broke from hail stones.,The window was broken by hailstones.  
John fed the baby rice up.,John fed the baby rice.  
Spray the wall with all the paint.,Spray the wall with all the paint.  
What the stone did to the wall was hit it.,What the stone did to the wall was hit it.  
What the stone did to the whole wall was hit it.,What the stone did to the entire wall was hit it.  
John concluded Bill to be a fool.,John concluded that Bill was a fool.  
Give the bottle to the baby awake.,Give the bottle to the baby while awake.  
Give the baby the bottle awake.,Give the baby the bottle while awake.  
Rub the cloth on the baby asleep.,Rub the cloth on the baby while they are asleep.  
Rub the baby with the cloth asleep.,Rub the baby with the cloth while asleep.  
Dry the baby with the cloth torn.,Dry the baby with the torn cloth.  
The cup knocked the stone apart.,The cup knocked the stone apart.  
John gave Bill of the book.,John gave Bill part of the book.  
John perfectly learned French.,John learned French perfectly.  
Bill poorly recited his lines.,Bill poorly recited his lines.  
John perfectly learned French immediately.,John immediately learned French perfectly.  
John learned French immediately perfectly.,John perfectly learned French immediately.  
"Clearly, John immediately will probably learn French perfectly.","Clearly, John will probably learn French perfectly immediately.  "
"Immediately, John probably will clearly learn French perfectly.","Immediately, John will probably clearly learn French perfectly.  "
"Clearly, John perfectly will immediately learn French probably.","Clearly, John will immediately learn French perfectly.  "
John perfectly rolled the ball down the hill.,John rolled the ball down the hill perfectly.  
John perfectly shot the ball.,John shot the ball perfectly.  
John intimately spoke to Mary.,John spoke to Mary intimately.  
John spoke intimately French to Mary.,John spoke French to Mary intimately.  
John spoke to Mary French.,John spoke French to Mary.  
Mary persuaded to leave John.,Mary persuaded John to leave.  
The lions ate raw the meat.,The lions ate the meat raw.  
Mary persuaded that he should rest Bill.,Mary persuaded Bill that he should rest.  
I saw the men all.,I saw all the men.  
The men were arrested all.,All the men were arrested.  
The men arrived all.,All the men arrived.  
Bill proud of himself John doesn't consider.,John doesn't consider Bill proud of himself.  
Home was gone by John.,John went home.  
The room was left angry by Mary.,Mary left the room angrily.  
The room was left angry.,The room was left empty.  
Bill is resembled by John.,John resembles Bill.  
10 lb was weighed by the package.,The package weighed 10 lbs.  
$10 was cost by this book.,This book cost $10.  
John was cost $10 by the book.,The book cost John $10.  
John is impressed by Bill as pompous.,John is impressed by Bill's pompous behaviour.  
The boys were made a good mother.,The boys were made to appreciate a good mother.  
The boys were made a good mother by Aunt Mary.,Aunt Mary made the boys appreciate a good mother.  
The kids were failed by Max as a father.,Max failed the kids as a father.  
The kids were failed as a father.,The kids were failed by Max in his role as a father.  
The men were struck by the idea as nonsense.,The men were struck by the idea as nonsensical.  
The men were promised to leave.,The men were promised they could leave.  
He impresses his friends all as pompous.,He impresses all his friends as being pompous.  
Aunt Mary made the boys all a good mother.,Aunt Mary made all the boys appreciate a good mother.  
Max failed the kids all as a father.,Max failed all the kids as a father.  
Frank promised the men all to leave.,Frank promised all the men that he would leave.  
We proclaimed to the public John to be a hero.,We proclaimed John to be a hero to the public.  
We proclaimed sincerely John to be a hero.,We sincerely proclaimed John to be a hero.  
We proclaimed sincerely to the public John to be a hero.,We sincerely proclaimed John to be a hero to the public.  
They represented to the dean Mary as a genuine linguist.,They represented Mary as a genuine linguist to the dean.  
