word1	relation	word2	gloss1	gloss2
dismiss%2:32:02::	event	dismissal%1:04:01::	cease to consider; put out of judicial c...	a judgment disposing of the matter witho...
disperse%2:32:00::	event	dispersal%1:04:00::	"cause to become widely known; ""spread in..."	the act of dispersing or diffusing somet...
dispose%2:40:00::	event	disposal%1:04:00::	"throw or cast away; ""Put away your worri..."	the act or means of getting rid of somet...
espouse%2:40:00::	event	espousal%1:04:00::	"choose and follow; as of theories, ideas..."	the act of accepting with approval; favo...
espy%2:39:00::	event	espial%1:04:00::	catch sight of	the act of detecting something; catching...
intersperse%2:35:02::	event	interspersal%1:04:00::	"place at intervals in or among; ""intersp..."	the act of combining one thing at interv...
misconstrue%2:31:01::	event	misconstrual%1:10:00::	"interpret in the wrong way; ""Don't misin..."	a kind of misinterpretation resulting fr...
misdeal%2:40:00::	event	misdeal%1:04:00::	deal cards wrongly	an incorrect deal
peal%2:39:00::	event	peal%1:11:00::	"ring recurrently; ""bells were pealing"""	a deep prolonged sound (as of thunder or...
peal%2:39:01::	event	peal%1:11:00::	"sound loudly and sonorously; ""the bells ..."	a deep prolonged sound (as of thunder or...
peruse%2:39:00::	event	perusal%1:10:00::	examine or consider with attention and i...	reading carefully with intent to remembe...
portray%2:36:01::	event	portrayal%1:04:02::	"assume or act the character of; ""She imp..."	acting the part of a character on stage;...
procure%2:40:00::	event	procural%1:04:00::	"get by special effort; ""He procured extr..."	the act of getting possession of somethi...
propose%2:32:01::	event	proposal%1:10:02::	"ask (someone) to marry you; ""he popped t..."	an offer of marriage
propose%2:32:00::	event	proposal%1:10:01::	"make a proposal, declare a plan for some..."	"the act of making a proposal; ""they list..."
reappraise%2:31:00::	event	reappraisal%1:09:00::	"appraise anew; ""Homes in our town are re..."	a new appraisal or evaluation
rebury%2:41:00::	event	reburial%1:04:00::	"bury again; ""After the king's body had b..."	the act of burying again
rebut%2:32:00::	event	rebuttal%1:10:00::	"overthrow by argument, evidence, or proo..."	the speech act of refuting by offering a...
recite%2:36:00::	event	recital%1:10:02::	"render verbally, ""recite a poem""; ""retel..."	a public instance of reciting or repeati...
recite%2:32:01::	event	recital%1:10:04::	"narrate or give a detailed account of; ""..."	a detailed account or description of som...
recite%2:32:01::	event	recital%1:10:01::	"narrate or give a detailed account of; ""..."	the act of giving an account describing ...
recuse%2:32:00::	event	recusal%1:04:00::	disqualify oneself (as a judge) in a par...	(law) the disqualification of a judge or...
refer%2:38:00::	event	referral%1:04:00::	"send or direct for treatment, informatio..."	the act of referring (as forwarding an a...
refuse%2:41:00::	event	refusal%1:10:01::	"refuse entrance or membership; ""They tur..."	the act of refusing
refuse%2:40:00::	event	refusal%1:10:00::	"refuse to accept; ""He refused my offer o..."	a message refusing to accept something t...
refuse%2:40:01::	event	refusal%1:10:01::	"refuse to let have; ""She denies me every..."	the act of refusing
rehearse%2:36:00::	event	rehearsal%1:04:01::	engage in a rehearsal (of)	a practice session in preparation for a ...
remit%2:30:02::	event	remittal%1:11:00::	"diminish or abate; ""The pain finally rem..."	an abatement in intensity or degree (as ...
remove%2:41:00::	event	removal%1:04:02::	remove from a position or an office	dismissal from office
remove%2:40:00::	event	removal%1:04:00::	"dispose of; ""Get rid of these old shoes!..."	"the act of removing; ""he had surgery for..."
remove%2:30:00::	event	removal%1:04:00::	"remove something concrete, as by lifting..."	"the act of removing; ""he had surgery for..."
renew%2:36:00::	event	renewal%1:04:01::	"reestablish on a new, usually improved, ..."	the act of renewing
rent%2:40:00::	event	rental%1:04:00::	engage for service under a term of contr...	the act of paying for the use of somethi...
repeal%2:32:00::	event	repeal%1:04:00::	"cancel officially; ""He revoked the ban o..."	the act of abrogating; an official or le...
reprove%2:32:00::	event	reproval%1:10:00::	"take to task; ""He admonished the child f..."	an act or expression of criticism and ce...
requite%2:40:00::	event	requital%1:04:00::	make repayment for or return something	an act of requiting; returning in kind
retrieve%2:40:00::	event	retrieval%1:04:00::	"get or find back; recover the use of; ""S..."	the act of regaining or saving something...
retrieve%2:31:00::	event	retrieval%1:09:00::	recall knowledge from memory; have a rec...	the cognitive operation of accessing inf...
retry%2:41:06::	event	retrial%1:04:00::	hear or try a court case anew	a new trial in which issues already liti...
reverse%2:32:00::	event	reversal%1:09:00::	"cancel officially; ""He revoked the ban o..."	a decision to reverse an earlier decisio...
reverse%2:31:00::	event	reversal%1:04:06::	"rule against; ""The Republicans were over..."	a judgment by a higher court that the ju...
reverse%2:30:01::	event	reversal%1:11:00::	turn inside out or upside down	turning in an opposite direction or posi...
reverse%2:30:01::	event	reversal%1:04:04::	turn inside out or upside down	turning in the opposite direction
reverse%2:30:00::	event	reversal%1:04:00::	"change to the contrary; ""The trend was r..."	a change from one state to the opposite ...
revise%2:32:00::	event	revisal%1:10:00::	"make revisions in; ""revise a thesis"""	the act of rewriting something
revive%2:30:00::	event	revival%1:04:01::	"be brought back to life, consciousness, ..."	bringing again into activity and promine...
revive%2:30:01::	event	revival%1:04:01::	"restore from a depressed, inactive, or u..."	bringing again into activity and promine...
ritualize%2:30:00::	event	ritual%1:04:01::	"make or evolve into a ritual; ""The growi..."	the prescribed procedure for conducting ...
ritualize%2:30:00::	event	ritual%1:04:00::	"make or evolve into a ritual; ""The growi..."	any customary observance or practice
scandalise%2:37:00::	event	scandal%1:11:00::	"strike with disgust or revulsion; ""The s..."	a disgraceful event
scandalize%2:37:00::	event	scandal%1:11:00::	"strike with disgust or revulsion; ""The s..."	a disgraceful event
spiral%2:38:01::	event	spiral%1:04:00::	move in a spiral or zigzag course	flying downward in a helical path with a...
squeal%2:32:01::	event	squeal%1:11:00::	"utter a high-pitched cry, characteristic..."	a high-pitched howl
steal%2:33:00::	event	steal%1:04:00::	steal a base	a stolen base; an instance in which a ba...
suppose%2:32:00::	event	supposal%1:09:00::	"express a supposition; ""Let us say that ..."	a hypothesis that is taken for granted; ...
suppose%2:31:01::	event	supposal%1:09:01::	to believe especially on uncertain or te...	the cognitive process of supposing
suppose%2:31:00::	event	supposal%1:09:01::	"expect, believe, or suppose; ""I imagine ..."	the cognitive process of supposing
surmise%2:31:00::	event	surmisal%1:10:00::	infer from incomplete evidence	a message expressing an opinion based on...
surprise%2:41:00::	event	surprisal%1:04:00::	"come upon or take unawares; ""She surpris..."	the act of surprising someone
surprise%2:31:00::	event	surprisal%1:04:00::	"cause to be surprised; ""The news really ..."	the act of surprising someone
try%2:34:00::	event	trial%1:09:00::	"take a sample of; ""Try these new cracker..."	"trying something to find out about it; ""..."
upheave%2:35:00::	event	upheaval%1:11:00::	lift forcefully from beneath	(geology) a rise of land to a higher ele...
withdraw%2:41:00::	event	withdrawal%1:04:00::	"break from a meeting or gathering; ""We a..."	"the act of withdrawing; ""the withdrawal ..."
withdraw%2:41:03::	event	withdrawal%1:04:00::	"retire gracefully; ""He bowed out when he..."	"the act of withdrawing; ""the withdrawal ..."
withdraw%2:41:01::	event	withdrawal%1:04:01::	"withdraw from active participation; ""He ..."	formal separation from an alliance or fe...
withdraw%2:40:00::	event	withdrawal%1:04:03::	remove (a commodity) from (a supply sour...	the act of taking out money or other cap...
withdraw%2:38:00::	event	withdrawal%1:04:00::	"pull back or move away or backward; ""The..."	"the act of withdrawing; ""the withdrawal ..."
withdraw%2:37:00::	event	withdrawal%1:12:00::	"lose interest; ""he retired from life whe..."	avoiding emotional involvement
withdraw%2:35:00::	event	withdrawal%1:04:00::	"release from something that holds fast, ..."	"the act of withdrawing; ""the withdrawal ..."
withdraw%2:32:00::	event	withdrawal%1:04:00::	make a retreat from an earlier commitmen...	"the act of withdrawing; ""the withdrawal ..."
withdraw%2:32:01::	event	withdrawal%1:10:00::	"take back what one has said; ""He swallow..."	a retraction of a previously held positi...
withdraw%2:30:00::	event	withdrawal%1:04:00::	"keep away from others; ""He sequestered h..."	"the act of withdrawing; ""the withdrawal ..."
withdraw%2:30:01::	event	withdrawal%1:04:00::	"remove something concrete, as by lifting..."	"the act of withdrawing; ""the withdrawal ..."
charcoal%2:36:00::	instrument	charcoal%1:06:00::	"draw, trace, or represent with charcoal"	a stick of black carbon material used fo...
pedal%2:38:00::	instrument	pedal%1:06:00::	ride a bicycle	a lever that is operated with the foot
seal%2:35:03::	instrument	seal%1:06:02::	"make tight; secure against leakage; ""sea..."	fastener that provides a tight and perfe...
corral%2:35:00::	location	corral%1:06:00::	"enclose in a corral; ""corral the horses""..."	a pen for cattle
hospitalize%2:40:00::	location	hospital%1:14:00::	"admit into a hospital; ""Mother had to be..."	a medical institution where sick or inju...
hospitalize%2:40:00::	location	hospital%1:06:00::	"admit into a hospital; ""Mother had to be..."	a health facility where patients receive...
approbate%2:32:00::	by-means-of	approval%1:10:00::	approve or sanction officially	a message expressing a favorable opinion...
canalise%2:38:00::	by-means-of	canal%1:06:00::	"direct the flow of; ""channel information..."	long and narrow strip of water made for ...
canalize%2:38:00::	by-means-of	canal%1:08:00::	"direct the flow of; ""channel information..."	a bodily passage or tube lined with epit...
canalize%2:38:00::	by-means-of	canal%1:06:00::	"direct the flow of; ""channel information..."	long and narrow strip of water made for ...
dial%2:31:00::	by-means-of	dial%1:06:01::	"choose by means of a dial; ""dial a telep..."	a disc on a telephone that is rotated a ...
editorialize%2:32:00::	by-means-of	editorial%1:10:00::	insert personal opinions into an objecti...	an article giving opinions or perspectiv...
initial%2:32:00::	by-means-of	initial%1:10:00::	mark with one's initials	the first letter of a word (especially a...
scandalise%2:37:00::	by-means-of	scandal%1:10:00::	"strike with disgust or revulsion; ""The s..."	disgraceful gossip about the private liv...
scandalize%2:37:00::	by-means-of	scandal%1:10:00::	"strike with disgust or revulsion; ""The s..."	disgraceful gossip about the private liv...
seal%2:35:00::	by-means-of	seal%1:10:01::	"close with or as if with a seal; ""She se..."	a stamp affixed to a document (as to att...
seal%2:35:00::	by-means-of	seal%1:06:00::	"close with or as if with a seal; ""She se..."	a device incised to make an impression; ...
signal%2:32:00::	by-means-of	signal%1:10:00::	communicate silently and non-verbally by...	any nonverbal action or gesture that enc...
signal%2:32:01::	by-means-of	signal%1:10:00::	"be a signal for or a symptom of; ""These ..."	any nonverbal action or gesture that enc...
signalize%2:32:01::	by-means-of	signal%1:10:00::	communicate silently and non-verbally by...	any nonverbal action or gesture that enc...
signalize%2:32:02::	by-means-of	signal%1:10:00::	point out carefully and clearly	any nonverbal action or gesture that enc...
signalize%2:32:00::	by-means-of	signal%1:10:00::	make conspicuous or noteworthy	any nonverbal action or gesture that enc...
coal%2:35:00::	undergoer	coal%1:27:00::	"take in coal; ""The big ship coaled"""	fossil fuel consisting of carbonized veg...
deal%2:40:06::	undergoer	deal%1:14:00::	"give (a specific card) to a player; ""He ..."	the cards held in a card game by a given...
deal%2:40:02::	undergoer	deal%1:14:00::	distribute cards to the players in a gam...	the cards held in a card game by a given...
dial%2:32:00::	undergoer	dial%1:06:01::	operate a dial to select a telephone num...	a disc on a telephone that is rotated a ...
madrigal%2:36:00::	undergoer	madrigal%1:10:00::	"sing madrigals; ""The group was madrigali..."	an unaccompanied partsong for 2 or 3 voi...
remit%2:40:00::	undergoer	remittal%1:21:00::	"send (money) in payment; ""remit $25"""	a payment of money sent to a person in a...
seal%2:35:01::	undergoer	seal%1:10:01::	"affix a seal to; ""seal the letter"""	a stamp affixed to a document (as to att...
seal%2:35:01::	undergoer	seal%1:06:00::	"affix a seal to; ""seal the letter"""	a device incised to make an impression; ...
seal%2:35:01::	undergoer	seal%1:06:01::	"affix a seal to; ""seal the letter"""	fastener consisting of a resinous compos...
seal%2:33:00::	undergoer	seal%1:05:00::	hunt seals	any of numerous marine mammals that come...
appeal%2:37:00::	property	appeal%1:07:00::	"be attractive to; ""The idea of a vacatio..."	attractiveness that interests or pleases...
acquit%2:32:00::	result	acquittal%1:04:00::	pronounce not guilty of criminal charges...	a judgment of not guilty
animalise%2:36:00::	result	animal%1:03:00::	represent in the form of an animal	a living organism characterized by volun...
animalize%2:36:00::	result	animal%1:03:00::	represent in the form of an animal	a living organism characterized by volun...
cabal%2:31:00::	result	cabal%1:09:00::	engage in plotting or enter into a consp...	a plot to carry out some harmful or ille...
capitalise%2:36:00::	result	capital%1:10:00::	write in capital letters	one of the large alphabetic characters u...
capitalise%2:31:01::	result	capital%1:21:01::	compute the present value of a business ...	assets available for use in the producti...
capitalise%2:31:01::	result	capital%1:21:00::	compute the present value of a business ...	wealth in the form of money or property ...
capitalise%2:30:00::	result	capital%1:21:01::	convert (a company's reserve funds) into...	assets available for use in the producti...
capitalize%2:36:00::	result	capital%1:10:00::	write in capital letters	one of the large alphabetic characters u...
capitalize%2:31:01::	result	capital%1:21:01::	compute the present value of a business ...	assets available for use in the producti...
capitalize%2:30:00::	result	capital%1:21:01::	convert (a company's reserve funds) into...	assets available for use in the producti...
charcoal%2:36:00::	result	charcoal%1:06:01::	"draw, trace, or represent with charcoal"	a drawing made with a stick of black car...
coal%2:43:00::	result	coal%1:27:00::	"burn to charcoal; ""Without a drenching r..."	fossil fuel consisting of carbonized veg...
coal%2:43:00::	result	coal%1:17:00::	"burn to charcoal; ""Without a drenching r..."	a hot fragment of wood or coal that is l...
construe%2:31:00::	result	construal%1:10:00::	"make sense of; assign a meaning to; ""Wha..."	an interpretation of the meaning of some...
crystalize%2:30:01::	result	crystal%1:27:01::	cause to form crystals or assume crystal...	colorless glass made of almost pure sili...
crystalize%2:30:01::	result	crystal%1:27:00::	cause to form crystals or assume crystal...	a solid formed by the solidification of ...
crystalize%2:30:01::	result	crystal%1:17:00::	cause to form crystals or assume crystal...	a rock formed by the solidification of a...
crystalize%2:30:00::	result	crystal%1:27:01::	assume crystalline form; become crystall...	colorless glass made of almost pure sili...
crystalize%2:30:00::	result	crystal%1:27:00::	assume crystalline form; become crystall...	a solid formed by the solidification of ...
crystalize%2:30:00::	result	crystal%1:17:00::	assume crystalline form; become crystall...	a rock formed by the solidification of a...
crystallize%2:30:01::	result	crystal%1:27:01::	cause to form crystals or assume crystal...	colorless glass made of almost pure sili...
crystallize%2:30:01::	result	crystal%1:27:00::	cause to form crystals or assume crystal...	a solid formed by the solidification of ...
crystallize%2:30:00::	result	crystal%1:27:01::	assume crystalline form; become crystall...	colorless glass made of almost pure sili...
crystallize%2:30:00::	result	crystal%1:27:00::	assume crystalline form; become crystall...	a solid formed by the solidification of ...
deal%2:41:02::	result	deal%1:11:00::	direct the course of; manage or control;...	the type of treatment received (especial...
decimalise%2:30:01::	result	decimal%1:23:00::	"change from fractions to decimals; ""Stoc..."	a proper fraction whose denominator is a...
decimalise%2:30:00::	result	decimal%1:23:01::	"change to the decimal system; ""The count..."	a number in the decimal system
decimalize%2:30:01::	result	decimal%1:23:00::	"change from fractions to decimals; ""Stoc..."	a proper fraction whose denominator is a...
decimalize%2:30:00::	result	decimal%1:23:01::	"change to the decimal system; ""The count..."	a number in the decimal system
diagonalise%2:30:00::	result	diagonal%1:14:01::	transform a matrix to a diagonal matrix	(mathematics) a set of entries in a squa...
diagonalize%2:30:00::	result	diagonal%1:14:01::	transform a matrix to a diagonal matrix	(mathematics) a set of entries in a squa...
foal%2:29:00::	result	foal%1:05:00::	"give birth to a foal; ""the mare foaled"""	a young horse
idealise%2:31:00::	result	ideal%1:09:00::	"consider or render as ideal; ""She ideali..."	the idea of something that is perfect; s...
idealise%2:31:01::	result	ideal%1:09:00::	"form ideals; ""Man has always idealized"""	the idea of something that is perfect; s...
idealize%2:31:00::	result	ideal%1:09:00::	"consider or render as ideal; ""She ideali..."	the idea of something that is perfect; s...
idealize%2:31:01::	result	ideal%1:09:00::	"form ideals; ""Man has always idealized"""	the idea of something that is perfect; s...
integrate%2:31:00::	result	integral%1:09:00::	calculate the integral of; calculate by ...	the result of a mathematical integration...
portray%2:36:02::	result	portrayal%1:04:00::	"represent abstractly, for example in a p..."	representation by drawing or painting et...
portray%2:36:00::	result	portrayal%1:09:00::	"make a portrait of; ""Goya wanted to port..."	a representation by picture or portraitu...
portray%2:32:00::	result	portrayal%1:10:01::	"portray in words; ""The book portrays the..."	a word picture of a person's appearance ...
shoal%2:30:01::	result	shoal%1:17:01::	"make shallow; ""The silt shallowed the ca..."	a stretch of shallow water
shoal%2:30:00::	result	shoal%1:17:01::	"become shallow; ""the lake shallowed over..."	a stretch of shallow water
spiral%2:42:00::	result	spiral%1:25:01::	"form a spiral; ""The path spirals up the ..."	a curve that lies on the surface of a cy...
spiral%2:42:00::	result	spiral%1:25:00::	"form a spiral; ""The path spirals up the ..."	a plane curve traced by a point circling...
spiral%2:38:00::	result	spiral%1:06:00::	"to wind or move in a spiral course; ""the..."	a structure consisting of something woun...
spiral%2:38:00::	result	spiral%1:25:00::	"to wind or move in a spiral course; ""the..."	a plane curve traced by a point circling...
total%2:42:00::	result	total%1:06:00::	"add up in number or quantity; ""The bills..."	the whole amount
total%2:42:00::	result	total%1:09:00::	"add up in number or quantity; ""The bills..."	a quantity obtained by the addition of a...
total%2:32:00::	result	total%1:06:00::	"determine the sum of; ""Add all the peopl..."	the whole amount
total%2:32:00::	result	total%1:09:00::	"determine the sum of; ""Add all the peopl..."	a quantity obtained by the addition of a...
transfer%2:40:01::	result	transferral%1:04:00::	"move from one place to another; ""transfe..."	the act of moving something from one loc...
transfer%2:35:00::	result	transferral%1:04:00::	send from one person or place to another...	the act of moving something from one loc...
transmit%2:38:00::	result	transmittal%1:04:00::	transmit or serve as the medium for tran...	the act of sending a message; causing a ...
transmit%2:35:00::	result	transmittal%1:04:00::	send from one person or place to another...	the act of sending a message; causing a ...
traverse%2:38:00::	result	traversal%1:04:01::	"travel across or pass over; ""The caravan..."	travel across
try%2:41:01::	result	trial%1:04:03::	"put to the test, as for its quality, or ..."	"the act of undergoing testing; ""he survi..."
try%2:41:06::	result	trial%1:04:02::	put on trial or hear a case and sit as t...	(law) the determination of a person's in...
try%2:37:01::	result	trial%1:11:00::	"give pain or trouble to; ""I've been sore..."	an annoying or frustrating or catastroph...
approve%2:31:00::	state	approval%1:12:00::	judge to be right or commendable; think ...	a feeling of liking something or someone...
despise%2:37:00::	state	despisal%1:12:00::	"look down on with disdain; ""He despises ..."	a feeling of scornful hatred
disapprove%2:31:00::	state	disapproval%1:12:00::	consider bad or wrong	a feeling of disliking something or what...
survive%2:42:02::	state	survival%1:26:00::	continue in existence after (an adversit...	a state of surviving; remaining alive
survive%2:42:01::	state	survival%1:26:00::	continue to live through hardship or adv...	a state of surviving; remaining alive
survive%2:42:00::	state	survival%1:26:00::	"support oneself; ""he could barely exist ..."	a state of surviving; remaining alive
canal%2:40:00::	uses	canal%1:06:00::	provide (a city) with a canal	long and narrow strip of water made for ...
canalise%2:40:00::	uses	canal%1:06:00::	provide (a city) with a canal	long and narrow strip of water made for ...
canalize%2:40:00::	uses	canal%1:06:00::	provide (a city) with a canal	long and narrow strip of water made for ...
capitalise%2:40:02::	uses	capital%1:21:01::	"supply with capital, as of a business by..."	assets available for use in the producti...
coal%2:40:00::	uses	coal%1:27:00::	supply with coal	fossil fuel consisting of carbonized veg...
memorialize%2:31:00::	uses	memorial%1:10:00::	be or provide a memorial to a person or ...	a recognition of meritorious service
memorialize%2:31:00::	uses	memorial%1:06:00::	be or provide a memorial to a person or ...	a structure erected to commemorate perso...
seal%2:35:04::	uses	seal%1:06:03::	cover with varnish	a finishing coat applied to exclude mois...
signalize%2:40:00::	uses	signal%1:10:00::	"provide with traffic signals; ""signalize..."	any nonverbal action or gesture that enc...
absent%2:30:00::	agent	absentee%1:18:00::	"go away or leave; ""He absented himself"""	one that is absent or not in residence
barge%2:38:01::	agent	bargee%1:18:00::	transport by barge on a body of water	someone who operates a barge
confer%2:32:00::	agent	conferee%1:18:00::	have a conference in order to talk somet...	a member of a conference
devote%2:32:00::	agent	devotee%1:18:00::	"give entirely to a specific person, acti..."	an ardent follower and admirer
divorce%2:41:00::	agent	divorcee%1:18:00::	get a divorce; formally terminate a marr...	a divorced woman or a woman who is separ...
draw%2:40:01::	agent	drawee%1:18:00::	remove (a commodity) from (a supply sour...	the person (or bank) who is expected to ...
emcee%2:41:00::	agent	emcee%1:18:00::	act as a master of ceremonies	a person who acts as host at formal occa...
enroll%2:41:00::	agent	enrollee%1:18:00::	register formally as a participant or me...	a person who enrolls in (or is enrolled ...
escape%2:38:00::	agent	escapee%1:18:00::	"run away from confinement; ""The convicte..."	someone who escapes
lease%2:41:01::	agent	lessee%1:18:00::	hold under a lease or rental agreement; ...	a tenant who holds a lease
patent%2:40:00::	agent	patentee%1:18:00::	"obtain a patent for; ""Should I patent th..."	the inventor to whom a patent is issued
referee%2:33:00::	agent	referee%1:18:00::	be a referee or umpire in a sports compe...	(sports) the chief official (as in boxin...
referee%2:32:00::	agent	referee%1:18:01::	evaluate professionally a colleague's wo...	someone who reads manuscripts and judges...
retire%2:41:02::	agent	retiree%1:18:00::	"withdraw from active participation; ""He ..."	someone who has retired from active work...
retire%2:41:01::	agent	retiree%1:18:00::	go into retirement; stop performing one'...	someone who has retired from active work...
